Player,Team,Opp,Points,Assists,Rebounds,Three Pointers
James Harden,HOU,SAC,31.5,7.57,6.17,4.07
Trae Young,ATL,CLE,28,9.27,4.19,3.05
Joel Embiid,PHI,CHA,25.2,3.22,11.74,1.14
