player_id,full_name,recent_team,season,week,pass_comp,pass_att,pass_yds,pass_td,pass_int,rush_att,rush_yds,rec,rec_yds,position,headshot_url,scrim_yds
00-0035593,Juwann Winfree,GB,2022,1,0,0,0,0,0,0,0,1,17,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/fty9irxwcqq7malchotw",17
00-0035594,Travis Homer,SEA,2022,1,0,0,0,0,0,1,2,0,0,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/kiynmphzirzitoip2qvo",2
00-0035631,Drew Sample,CIN,2022,1,0,0,0,0,0,0,0,1,2,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ntw6twdepdhx64hpkph1",2
00-0035639,Parris Campbell,IND,2022,1,0,0,0,0,0,0,0,3,37,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wwe99bwwendcfycnryyn",37
00-0035640,DK Metcalf,SEA,2022,1,0,0,0,0,0,0,0,7,36,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/oa43ir8zoaiofwbupkrt",36
00-0035644,Noah Fant,SEA,2022,1,0,0,0,0,0,0,0,3,16,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/w1gqasldrg3jumzdqjvy",16
00-0035657,Damien Harris,NE,2022,1,0,0,0,0,0,9,48,2,10,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/fuu2lrxcgfp1tosecauj",58
00-0035659,Terry McLaurin,WAS,2022,1,0,0,0,0,0,0,0,2,58,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/bxkrzih9phr5abgabo7v",58
00-0035662,Marquise Brown,ARI,2022,1,0,0,0,0,0,0,0,4,43,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/fihs5hshnjghcpimjjtw",43
00-0035664,Darrell Henderson,LA,2022,1,0,0,0,0,0,13,47,5,26,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/trvk8n0wjne7edxbajgw",73
00-0035676,AJ Brown,PHI,2022,1,0,0,0,0,0,0,0,10,155,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/oiacjddbxvaeiewm9v62",155
00-0035685,David Montgomery,CHI,2022,1,0,0,0,0,0,17,26,3,24,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/sqahircgbz406rjbglpe",50
00-0035689,Dawson Knox,BUF,2022,1,0,0,0,0,0,0,0,1,5,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ip13rlibbh1y7lejzj6t",5
00-0035700,Josh Jacobs,LV,2022,1,0,0,0,0,0,10,57,1,16,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/sagoqkubeaz5yht01ow7",73
00-0035703,Miles Boykin,PIT,2022,1,0,0,0,0,0,0,0,0,0,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/sfgnvjymon1mjzk6rary",0
00-0035710,Daniel Jones,NYG,2022,1,17,21,188,2,1,6,25,0,0,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/af6nbjqa6qubnu8oi4ms",25
00-0035719,Deebo Samuel,SF,2022,1,0,0,0,0,0,8,52,2,14,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ciwaktyqewczcquks4wy",66
00-0035726,Jakob Johnson,LV,2022,1,0,0,0,0,0,0,0,1,1,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/nfbbcwzeoxpgpo088edv",1
00-0035823,Ben Ellefson,MIN,2022,1,0,0,0,0,0,0,0,1,2,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/obeiese68connhihpmln",2
00-0035831,James Robinson,JAX,2022,1,0,0,0,0,0,11,66,1,3,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ljncffeh5fst4r98izx3",69
00-0036005,Noah Togiai,PHI,2022,1,0,0,0,0,0,0,0,0,0,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/evxzsdrwsxqg5jobzl0r",0
00-0036040,Juwan Johnson,NO,2022,1,0,0,0,0,0,0,0,2,43,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/kew8v8rgrtbefvnxpl0a",43
00-0036145,Lawrence Cager,NYJ,2022,1,0,0,0,0,0,0,0,0,0,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/z7nogo1jxtcgpjapj9fd",0
00-0036182,Nick Westbrook-Ikhine,TEN,2022,1,0,0,0,0,0,0,0,1,13,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/rrpe7w9vvgasgkyemixa",13
00-0036196,Gabe Davis,BUF,2022,1,0,0,0,0,0,0,0,4,88,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gybdtwydpj0rggczumgg",88
00-0036212,Tua Tagovailoa,MIA,2022,1,23,33,270,1,0,0,0,0,0,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/dyrrl1knhcxqjwuvhcwm",0
00-0036223,Jonathan Taylor,IND,2022,1,0,0,0,0,0,31,161,4,14,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/vts6mscfg5le5zugxbtj",175
00-0036232,Harrison Bryant,CLE,2022,1,0,0,0,0,0,0,0,2,18,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/rqva2z0by1veklpxnzis",18
00-0036233,Donovan Peoples-Jones,CLE,2022,1,0,0,0,0,0,0,0,6,60,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qpppihrztbzxktstufm0",60
