dateGame,locationGame,slugTeam,Opp,namePlayer,3-pointers,fg3a,rebounds,assists,steals,blocks,turnovers,points,urlPlayerHeadshot
2021-10-31,H,BKN,DET,Patty Mills,1,2,0,2,0,0,0,7,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201988.png
2021-10-31,A,DET,BKN,Cory Joseph,1,1,0,2,0,0,1,13,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202709.png
2021-10-31,A,DET,BKN,Kelly Olynyk,1,3,2,2,1,0,1,9,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203482.png
2021-10-31,A,DET,BKN,Rodney McGruder,0,0,0,0,0,1,0,0,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203585.png
2021-10-31,H,BKN,DET,Joe Harris,2,4,4,1,0,0,1,12,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203925.png
2021-10-31,A,DET,BKN,Trey Lyles,2,2,4,3,1,0,1,8,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626168.png
2021-10-31,H,BKN,DET,Bruce Brown,0,1,4,2,3,0,0,2,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628971.png
2021-10-31,A,DET,BKN,Hamidou Diallo,2,3,4,0,0,0,1,6,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628977.png
2021-10-31,A,DET,BKN,Killian Hayes,0,1,2,2,5,0,4,6,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630165.png
2021-10-31,A,DET,BKN,Isaiah Stewart,1,2,1,0,0,0,0,5,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630191.png
2021-10-31,A,DET,BKN,Saben Lee,0,1,1,3,0,0,1,1,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630240.png
2021-10-31,H,BKN,DET,Day'Ron Sharpe,1,1,2,0,0,0,0,5,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630549.png
2021-10-31,A,DET,BKN,Luka Garza,0,1,1,0,1,0,0,2,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630568.png
2021-10-31,A,DET,BKN,Jamorko Pickett,1,1,0,0,0,0,0,3,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630691.png
2021-10-31,H,BKN,DET,James Johnson,0,1,4,1,1,0,3,3,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201949.png
2021-10-31,A,DET,BKN,Jerami Grant,1,5,4,0,1,0,4,11,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203924.png
2021-10-31,H,BKN,DET,DeAndre' Bembry,1,2,7,1,2,0,2,15,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627761.png
2021-10-31,H,BKN,DET,Jevon Carter,2,4,1,2,1,0,1,8,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628975.png
2021-10-31,A,DET,BKN,Josh Jackson,2,5,5,3,0,1,0,12,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628367.png
2021-10-31,A,DET,BKN,Saddiq Bey,1,4,3,6,1,1,1,9,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630180.png
2021-10-31,H,BKN,DET,Cam Thomas,0,0,0,1,0,0,0,0,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630560.png
2021-10-31,H,BKN,DET,LaMarcus Aldridge,0,0,3,1,0,0,2,16,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/200746.png
2021-10-31,H,BKN,DET,Blake Griffin,1,2,5,2,0,1,2,8,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201933.png
2021-10-31,A,DET,BKN,Frank Jackson,0,4,2,0,2,0,1,6,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628402.png
2021-11-01,A,TOR,NYK,Khem Birch,0,1,8,3,2,1,2,6,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203920.png
2021-11-01,H,NYK,TOR,Kemba Walker,3,6,3,3,0,1,2,15,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202689.png
2021-11-01,H,NYK,TOR,Julius Randle,4,7,9,5,0,1,3,22,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203944.png
2021-11-01,A,TOR,NYK,Svi Mykhailiuk,2,4,5,5,2,0,0,15,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629004.png
2021-11-01,H,NYK,TOR,Mitchell Robinson,0,0,12,3,0,1,1,6,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629011.png
2021-11-01,H,NYK,TOR,RJ Barrett,5,8,6,0,1,0,4,27,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629628.png
2021-11-01,A,TOR,NYK,Justin Champagnie,0,0,5,1,0,0,0,2,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630551.png
2021-11-01,A,TOR,NYK,Dalano Banton,0,0,3,0,0,2,0,4,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630625.png
2021-11-01,H,NYK,TOR,Evan Fournier,2,7,3,2,0,0,2,12,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203095.png
2021-11-01,H,NYK,TOR,Derrick Rose,0,2,1,1,1,0,2,4,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201565.png
2021-11-01,H,NYK,TOR,Alec Burks,1,1,1,0,1,0,0,5,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202692.png
2021-11-01,A,TOR,NYK,Chris Boucher,0,3,1,0,0,1,1,2,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628449.png
2021-11-01,H,NYK,TOR,Immanuel Quickley,1,6,2,5,0,0,0,7,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630193.png
2021-11-01,A,TOR,NYK,Malachi Flynn,1,2,0,2,0,0,0,3,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630201.png
2021-11-01,H,NYK,TOR,Jericho Sims,0,0,1,0,0,0,1,0,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630579.png
2021-11-01,A,TOR,NYK,Fred VanVleet,3,8,9,8,2,0,1,17,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627832.png
2021-11-01,H,NYK,TOR,Taj Gibson,0,0,0,1,0,0,0,0,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201959.png
2021-11-01,H,NYK,TOR,Obi Toppin,0,1,3,0,0,1,1,6,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630167.png
2021-11-01,A,TOR,NYK,Gary Trent,4,11,2,2,4,0,1,26,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629018.png
