Position,Player,Points,Salary,Team,Opp,Minutes,Date,Started,Home.Away,Win.Loss
PG,Stephen Curry,59.7,10400,GSW,NOR,35,2015-10-27,1,Home,Win
PG,Maurice Williams,37.3,6000,CLE,CHI,37,2015-10-27,1,Away,Loss
PG,Reggie Jackson,34.1,8300,DET,ATL,32,2015-10-27,1,Away,Win
PG,Dennis Schroder,32.6,4600,ATL,DET,25,2015-10-27,0,Home,Loss
SG,Jimmy Butler,32,7500,CHI,CLE,36,2015-10-27,1,Home,Win
SG,Kentavious Caldwell-Pope,27.3,5000,DET,ATL,37,2015-10-27,1,Away,Win
PG,Derrick Rose,26.7,8100,CHI,CLE,32,2015-10-27,1,Home,Win
SG,Eric Gordon,22.8,5200,NOR,GSW,33,2015-10-27,1,Away,Loss
PG,Jeff Teague,21.4,7200,ATL,DET,31,2015-10-27,1,Home,Loss
SG,J.R. Smith,20.5,5700,CLE,CHI,30,2015-10-27,1,Away,Loss
PG,E'Twaun Moore,16.1,3800,CHI,CLE,14,2015-10-27,0,Home,Win
PG,Shaun Livingston,15.8,4000,GSW,NOR,21,2015-10-27,0,Home,Win
PG,Matthew Dellavedova,15.8,3900,CLE,CHI,20,2015-10-27,0,Away,Loss
SG,Klay Thompson,15.3,7100,GSW,NOR,26,2015-10-27,1,Home,Win
SG,Tony Snell,12.4,3900,CHI,CLE,28,2015-10-27,1,Home,Win
SG,Kyle Korver,11.9,5400,ATL,DET,28,2015-10-27,1,Home,Loss
SG,Leandro Barbosa,9.2,3900,GSW,NOR,20,2015-10-27,0,Home,Win
PG,Steve Blake,8,3800,DET,ATL,15,2015-10-27,0,Away,Win
PG,Nate Robinson,6.5,3500,NOR,GSW,19,2015-10-27,1,Away,Loss
PG,Aaron Brooks,6.4,4200,CHI,CLE,15,2015-10-27,0,Home,Win
SG,Kent Bazemore,5.9,3700,ATL,DET,20,2015-10-27,1,Home,Loss
SG,Jodie Meeks,3.4,3900,DET,ATL,10,2015-10-27,0,Away,Win
SG,Brandon Rush,0,3500,GSW,NOR,1,2015-10-27,0,Home,Win
SG,Jared Cunningham,0,3500,CLE,CHI,3,2015-10-27,0,Away,Loss
SF,LeBron James,45.5,11000,CLE,CHI,36,2015-10-27,1,Away,Loss
SF,Marcus Morris,36,5700,DET,ATL,37,2015-10-27,1,Away,Win
PF,Kevin Love,35.6,7200,CLE,CHI,34,2015-10-27,1,Away,Loss
PF,Paul Millsap,31.1,7700,ATL,DET,36,2015-10-27,1,Home,Loss
SF,Nikola Mirotic,29.3,5500,CHI,CLE,25,2015-10-27,1,Home,Win
PF,Anthony Davis,29.2,11200,NOR,GSW,34,2015-10-27,1,Away,Loss
PF,Ersan Ilyasova,27.9,5200,DET,ATL,34,2015-10-27,1,Away,Win
SF,Harrison Barnes,24.3,4600,GSW,NOR,32,2015-10-27,1,Home,Win
PF,Draymond Green,23.6,7800,GSW,NOR,29,2015-10-27,1,Home,Win
SF,Thabo Sefolosha,22.9,4200,ATL,DET,18,2015-10-27,0,Home,Loss
PF,Taj Gibson,20,4900,CHI,CLE,22,2015-10-27,0,Home,Win
SF,Alonzo Gee,18.5,3600,NOR,GSW,26,2015-10-27,0,Away,Loss
PF,Pau Gasol,18.4,7900,CHI,CLE,31,2015-10-27,1,Home,Win
PF,Tristan Thompson,17.4,5200,CLE,CHI,24,2015-10-27,0,Away,Loss
PF,Ryan Anderson,16.7,5400,NOR,GSW,28,2015-10-27,0,Away,Loss
PF,Marreese Speights,16.5,3900,GSW,NOR,10,2015-10-27,0,Home,Win
PF,Dante Cunningham,15.4,4200,NOR,GSW,26,2015-10-27,1,Away,Loss
SF,Stanley Johnson,15.3,4300,DET,ATL,24,2015-10-27,0,Away,Win
SF,Andre Iguodala,13.5,4300,GSW,NOR,23,2015-10-27,0,Home,Win
SF,Doug McDermott,12.8,4200,CHI,CLE,16,2015-10-27,0,Home,Win
SF,Richard Jefferson,12.5,3500,CLE,CHI,16,2015-10-27,0,Away,Loss
SF,Mike Scott,5.2,3500,ATL,DET,5,2015-10-27,0,Home,Loss
SF,James Jones,2,3500,CLE,CHI,3,2015-10-27,0,Away,Loss
PF,James Michael McAdoo,2,3500,GSW,NOR,2,2015-10-27,0,Home,Win
PF,Mike Muscala,0.2,3800,ATL,DET,7,2015-10-27,0,Home,Loss
C,Andre Drummond,49.3,9000,DET,ATL,37,2015-10-27,1,Away,Win
C,Al Horford,34.8,7200,ATL,DET,30,2015-10-27,1,Home,Loss
C,Andrew Bogut,29.5,5400,GSW,NOR,18,2015-10-27,1,Home,Win
C,Festus Ezeli,22.3,3500,GSW,NOR,17,2015-10-27,0,Home,Win
C,Joakim Noah,17.8,5700,CHI,CLE,17,2015-10-27,0,Home,Win
C,Kendrick Perkins,16.3,3500,NOR,GSW,15,2015-10-27,1,Away,Loss
C,Timofey Mozgov,15,4800,CLE,CHI,20,2015-10-27,1,Away,Loss
C,Aron Baynes,11,3900,DET,ATL,10,2015-10-27,0,Away,Win
C,Tiago Splitter,10.8,4000,ATL,DET,16,2015-10-27,0,Home,Loss
C,Alexis Ajinca,9.8,3500,NOR,GSW,16,2015-10-27,0,Away,Loss
C,Anderson Varejao,6.4,3900,CLE,CHI,11,2015-10-27,0,Away,Loss
PG,Ricky Rubio,52.4,7400,MIN,LAL,32,2015-10-28,1,Away,Win
PG,John Wall,49.4,9400,WAS,ORL,39,2015-10-28,1,Away,Win
PG,Russell Westbrook,49.4,10800,OKC,SAS,36,2015-10-28,1,Home,Win
SG,C.J. McCollum,47.7,5200,POR,NOR,37,2015-10-28,1,Home,Win
PG,Damian Lillard,43.5,9000,POR,NOR,35,2015-10-28,1,Home,Win
SG,James Harden,43.2,10800,HOU,DEN,36,2015-10-28,1,Home,Loss
PG,Isaiah Thomas,42.9,6900,BOS,PHI,29,2015-10-28,0,Home,Win
PG,Chris Paul,42.5,9800,LAC,SAC,36,2015-10-28,1,Away,Win
SG,DeMar DeRozan,42,8000,TOR,IND,35,2015-10-28,1,Home,Win
