week,year,Pos,Team,H.A,Oppt,FPTS,Salary,player,away_score,home_score,total,spread_line,total_line,result
1,2021,PK,PIT,a,BUF,12,1,Chris Boswell,23,16,39,6.5,48,win
1,2021,PK,WAS,h,LAC,12,1,Dustin Hopkins,20,16,36,2.5,45.5,loss
1,2021,PK,DAL,a,TB,12,1,Greg Zuerlein,29,31,60,10,52.5,loss
1,2021,PK,LA,h,CHI,12,1,Matt Gay,14,34,48,9.5,46,win
1,2021,PK,BUF,h,PIT,11,1,Tyler Bass,23,16,39,6.5,48,loss
1,2021,PK,NE,h,MIA,11,1,Nick Folk,17,16,33,3.5,43.5,loss
1,2021,PK,CIN,h,MIN,11,1,Evan McPherson,24,27,51,-3,47,win
1,2021,PK,BAL,a,LV,11,1,Justin Tucker,27,33,60,-3,50.5,loss
1,2021,PK,LV,h,BAL,11,1,Daniel Carlson,27,33,60,-3,50.5,win
1,2021,PK,KC,h,CLE,10,1,Harrison Butker,29,33,62,5.5,54.5,win
1,2021,PK,DEN,a,NYG,9,1,Brandon McManus,27,13,40,-3,41.5,win
1,2021,PK,NO,h,GB,9,1,Aldrick Rosas,3,38,41,-4,49,win
1,2021,PK,MIN,a,CIN,8,1,Greg Joseph,24,27,51,-3,47,loss
1,2021,PK,LAC,a,WAS,8,1,Tristan Vizcaino,20,16,36,2.5,45.5,win
1,2021,PK,ARI,a,TEN,8,1,Matt Prater,38,13,51,2.5,54,win
1,2021,PK,CAR,h,NYJ,7,1,Ryan Santoso,14,19,33,3.5,44.5,win
1,2021,PK,TB,h,DAL,7,1,Ryan Succop,29,31,60,10,52.5,win
1,2021,PK,PHI,a,ATL,7,1,Jake Elliott,32,6,38,3.5,49,win
1,2021,PK,ATL,h,PHI,6,1,Younghoe Koo,32,6,38,3.5,49,loss
1,2021,PK,DET,h,SF,6,1,Austin Seibert,41,33,74,-9.5,46,loss
1,2021,PK,MIA,a,NE,6,1,Jason Sanders,17,16,33,3.5,43.5,win
1,2021,PK,SEA,a,IND,4,1,Jason Myers,28,16,44,-3,49,win
1,2021,PK,IND,h,SEA,4,1,Rodrigo Blankenship,28,16,44,-3,49,loss
1,2021,PK,JAX,a,HOU,3,1,Josh Lambo,21,37,58,-3.5,45.5,loss
1,2021,PK,GB,a,NO,3,1,Mason Crosby,3,38,41,-4,49,loss
1,2021,PK,CLE,a,KC,3,1,Chase McLaughlin,29,33,62,5.5,54.5,loss
1,2021,PK,CHI,a,LA,2,1,Cairo Santos,14,34,48,9.5,46,loss
1,2021,PK,NYG,h,DEN,1,1,Graham Gano,27,13,40,-3,41.5,loss
1,2021,PK,TEN,h,ARI,1,1,Mike Badgley,38,13,51,2.5,54,loss
1,2021,Def,ARI,a,TEN,16,3400,Cardinals DST,38,13,51,2.5,54,win
1,2021,Def,NO,h,GB,15,3700,Saints DST,3,38,41,-4,49,win
1,2021,Def,PIT,a,BUF,14,4000,Steelers DST,23,16,39,6.5,48,win
1,2021,Def,PHI,a,ATL,10,3800,Eagles DST,32,6,38,3.5,49,win
1,2021,Def,SF,a,DET,10,5000,49ers DST,41,33,74,-9.5,46,win
1,2021,Def,CAR,h,NYJ,9,4600,Panthers DST,14,19,33,3.5,44.5,win
1,2021,Def,DEN,a,NYG,8,4100,Broncos DST,27,13,40,-3,41.5,win
1,2021,Def,LA,h,CHI,8,4900,Rams DST,14,34,48,9.5,46,win
1,2021,Def,LV,h,BAL,7,3200,Raiders DST,27,33,60,-3,50.5,win
1,2021,Def,HOU,h,JAX,7,3400,Texans DST,21,37,58,-3.5,45.5,win
1,2021,Def,DAL,a,TB,7,3400,Cowboys DST,29,31,60,10,52.5,loss
1,2021,Def,WAS,h,LAC,7,4200,Football Team,20,16,36,2.5,45.5,loss
1,2021,Def,SEA,a,IND,6,4800,Seahawks DST,28,16,44,-3,49,win
1,2021,Def,MIA,a,NE,6,4000,Dolphins DST,17,16,33,3.5,43.5,win
1,2021,Def,CIN,h,MIN,5,3000,Bengals DST,24,27,51,-3,47,win
1,2021,Def,KC,h,CLE,5,3600,Chiefs DST,29,33,62,5.5,54.5,win
1,2021,Def,MIN,a,CIN,5,3800,Vikings DST,24,27,51,-3,47,loss
1,2021,Def,NE,h,MIA,5,4400,Patriots DST,17,16,33,3.5,43.5,loss
1,2021,Def,NYJ,a,CAR,4,3500,Jets DST,14,19,33,3.5,44.5,loss
1,2021,Def,NYG,h,DEN,4,3700,Giants DST,27,13,40,-3,41.5,loss
1,2021,Def,BAL,a,LV,4,4500,Ravens DST,27,33,60,-3,50.5,loss
1,2021,Def,LAC,a,WAS,4,4300,Chargers DST,20,16,36,2.5,45.5,win
1,2021,Def,IND,h,SEA,4,4100,Colts DST,28,16,44,-3,49,loss
1,2021,Def,BUF,h,PIT,3,3600,Bills DST,23,16,39,6.5,48,loss
1,2021,Def,TB,h,DAL,2,4000,Buccaneers DST,29,31,60,10,52.5,win
1,2021,Def,DET,h,SF,1,3300,Lions DST,41,33,74,-9.5,46,loss
1,2021,Def,CLE,a,KC,1,3100,Browns DST,29,33,62,5.5,54.5,loss
1,2021,Def,ATL,h,PHI,0,3900,Falcons DST,32,6,38,3.5,49,loss
1,2021,Def,CHI,a,LA,0,3900,Bears DST,14,34,48,9.5,46,loss
1,2021,Def,TEN,h,ARI,0,3500,Titans DST,38,13,51,2.5,54,loss
1,2021,Def,JAX,a,HOU,-3,3900,Jaguars DST,21,37,58,-3.5,45.5,loss
1,2021,Def,GB,a,NO,-4,4500,Packers DST,3,38,41,-4,49,loss
