week,year,Pos,Team,H.A,Oppt,DKP,DKSalary,player
17,2014,WR,TB,h,NO,16.4,6100,Mike Evans
17,2014,WR,SF,h,ARI,16.1,5400,Anquan Boldin
17,2014,WR,MIN,h,CHI,15.8,3000,Adam Thielen
17,2014,WR,CIN,a,PIT,15.2,8300,AJ Green
17,2014,WR,JAX,a,HOU,14.62,3200,Cecil Shorts
17,2014,WR,GB,h,DET,14.6,8400,Jordy Nelson
17,2014,WR,MIA,h,NYJ,14.4,3000,Brian Hartline
17,2014,WR,BUF,a,NE,13.9,4400,Robert Woods
17,2014,WR,SDG,a,KC,13.5,5500,Eddie Royal
17,2014,WR,DEN,h,LV,13.3,7000,Emmanuel Sanders
17,2014,WR,NO,a,TB,13.2,6000,Kenny Stills
17,2014,WR,NO,a,TB,13.1,5600,Marques Colston
17,2014,WR,NYJ,a,MIA,12.9,3000,Chris Owusu
17,2014,WR,SDG,a,KC,12.9,3800,Dontrelle Inman
17,2014,WR,NE,h,BUF,12.3,5700,Brandon LaFell
17,2014,WR,DAL,a,WAS,11.7,3500,Cole Beasley
17,2014,WR,IND,a,TEN,11.1,3900,Reggie Wayne
17,2014,WR,SEA,h,STL,11,3300,Paul Richardson
17,2014,WR,MIA,h,NYJ,10.5,5400,Jarvis Landry
17,2014,WR,TEN,h,IND,9.9,5200,Kendall Wright
17,2014,WR,ATL,h,CAR,9.8,8100,Julio Jones
17,2014,WR,DAL,a,WAS,9.8,3500,Terrance Williams
17,2014,WR,CLE,a,BAL,9.6,3000,Taylor Gabriel
17,2014,WR,BAL,h,CLE,9.3,3000,Kamar Aiken
17,2014,WR,BUF,a,NE,9.2,5400,Sammy Watkins
17,2014,WR,PIT,h,CIN,9.1,3900,Martavis Bryant
17,2014,WR,ARI,a,SF,9.1,3000,John Brown
17,2014,WR,SF,h,ARI,8.1,4100,Michael Crabtree
17,2014,WR,SEA,h,STL,8.1,4800,Doug Baldwin
17,2014,WR,PHI,a,NYG,7.9,6100,Jeremy Maclin
17,2014,WR,CAR,a,ATL,7.9,3000,Philly Brown
17,2014,WR,NE,h,BUF,7.9,3000,Brian Tyms
17,2014,WR,STL,a,SEA,7.8,4000,Kenny Britt
17,2014,WR,ATL,h,CAR,7.8,5000,Harry Douglas
17,2014,WR,IND,a,TEN,7.6,4000,Hakeem Nicks
17,2014,WR,DET,a,GB,7.5,6000,Golden Tate
17,2014,WR,MIN,h,CHI,7.5,4300,Greg Jennings
17,2014,WR,CLE,a,BAL,7.3,3300,Andrew Hawkins
17,2014,WR,WAS,h,DAL,7.3,4600,Pierre Garcon
17,2014,WR,ATL,h,CAR,7.2,3500,Devin Hester
17,2014,WR,NE,h,BUF,6.4,4200,Danny Amendola
17,2014,WR,HOU,h,JAX,6.3,3000,Damaris Johnson
17,2014,WR,DEN,h,LV,6.2,3700,Wes Welker
