dateGame,locationGame,slugTeam,Opp,namePlayer,3-pointers,fg3a,rebounds,assists,steals,blocks,turnovers,points,urlPlayerHeadshot
2022-10-18,H,BOS,PHI,Malcolm Brogdon,0,2,2,4,2,0,1,16,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627763.png
2022-10-18,H,BOS,PHI,Derrick White,0,1,3,4,1,0,1,2,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628401.png
2022-10-18,H,BOS,PHI,Grant Williams,3,3,1,1,0,0,0,15,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629684.png
2022-10-18,H,BOS,PHI,Sam Hauser,0,0,0,0,0,0,0,0,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630573.png
2022-10-18,A,PHI,BOS,Joel Embiid,1,6,15,5,0,1,6,26,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203954.png
2022-10-18,A,PHI,BOS,Georges Niang,1,3,0,1,0,0,0,3,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627777.png
2022-10-18,A,PHI,BOS,Danuel House,0,1,1,1,2,0,1,1,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627863.png
2022-10-18,A,PHI,BOS,De'Anthony Melton,1,2,0,0,1,0,0,5,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629001.png
2022-10-18,A,PHI,BOS,Tyrese Maxey,2,5,1,2,2,0,1,21,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630178.png
2022-10-18,H,BOS,PHI,Blake Griffin,0,1,5,1,0,0,0,1,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201933.png
2022-10-18,A,PHI,BOS,James Harden,5,9,8,7,0,0,3,35,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201935.png
2022-10-18,A,PHI,BOS,Matisse Thybulle,0,0,0,0,0,0,0,0,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629680.png
2022-10-18,H,BOS,PHI,Jayson Tatum,2,7,12,4,1,1,3,35,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628369.png
2022-10-18,H,BOS,PHI,Jaylen Brown,4,12,3,2,2,1,4,35,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627759.png
2022-10-18,A,PHI,BOS,Montrezl Harrell,0,0,0,0,0,1,1,2,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626149.png
2022-10-18,H,BOS,PHI,Noah Vonleh,0,0,2,0,1,1,0,2,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203943.png
2022-10-18,H,BOS,PHI,Marcus Smart,1,4,3,7,1,0,1,14,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203935.png
2022-10-18,A,PHI,BOS,Tobias Harris,3,6,2,0,3,0,0,18,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202699.png
2022-10-18,H,BOS,PHI,Al Horford,2,5,5,1,0,0,0,6,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201143.png
2022-10-18,A,PHI,BOS,PJ Tucker,0,2,4,0,0,1,2,6,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/200782.png
2022-10-18,A,LAL,GSW,Austin Reaves,0,2,0,1,0,0,0,3,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630559.png
2022-10-18,H,GSW,LAL,Donte DiVincenzo,1,2,2,2,1,0,4,8,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628978.png
2022-10-18,A,LAL,GSW,Patrick Beverley,1,5,2,2,4,2,1,3,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201976.png
2022-10-18,A,LAL,GSW,Kendrick Nunn,3,6,3,2,1,0,3,13,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629134.png
2022-10-18,A,LAL,GSW,Anthony Davis,0,3,6,0,4,1,3,27,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203076.png
2022-10-18,A,LAL,GSW,Russell Westbrook,1,3,11,3,1,0,4,19,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201566.png
2022-10-18,H,GSW,LAL,Stephen Curry,4,13,6,7,4,1,4,33,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201939.png
2022-10-18,H,GSW,LAL,Andrew Wiggins,4,7,6,4,1,1,1,20,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203952.png
2022-10-18,H,GSW,LAL,Kevon Looney,0,0,6,2,1,0,0,7,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626172.png
2022-10-18,H,GSW,LAL,James Wiseman,0,0,7,0,0,1,0,8,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630164.png
2022-10-18,A,LAL,GSW,Matt Ryan,1,3,1,0,1,0,1,3,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630346.png
2022-10-18,H,GSW,LAL,Moses Moody,1,3,1,0,0,0,0,5,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630541.png
2022-10-18,A,LAL,GSW,Scotty Pippen,0,0,0,0,0,0,0,2,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630590.png
2022-10-18,A,LAL,GSW,Max Christie,1,1,1,0,0,0,0,3,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631108.png
2022-10-18,H,GSW,LAL,Ryan Rollins,0,0,1,1,0,0,0,0,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631157.png
2022-10-18,A,LAL,GSW,Cole Swider,0,1,1,1,0,0,0,0,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631306.png
2022-10-18,H,GSW,LAL,Klay Thompson,2,6,2,3,1,0,2,18,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202691.png
2022-10-18,H,GSW,LAL,Draymond Green,0,0,5,5,0,0,1,4,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203110.png
2022-10-18,H,GSW,LAL,JaMychal Green,2,3,7,0,1,0,0,8,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203210.png
2022-10-18,H,GSW,LAL,Jordan Poole,2,9,2,7,2,0,4,12,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629673.png
2022-10-18,A,LAL,GSW,Lonnie Walker,0,3,3,5,1,1,2,5,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629022.png
2022-10-18,A,LAL,GSW,Wenyen Gabriel,0,0,1,1,0,0,0,0,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629117.png
2022-10-18,A,LAL,GSW,Juan Toscano-Anderson,0,3,4,0,0,0,2,0,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629308.png
2022-10-18,H,GSW,LAL,Jonathan Kuminga,0,2,3,0,0,1,2,0,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630228.png
2022-10-18,A,LAL,GSW,LeBron James,3,10,15,8,0,0,5,31,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2544.png
