player,player_id,position,player_game_count,team_name,targets,receptions,yards,routes,yprr,week
Dallas Goedert,47272,TE,1,PHI,6,4,33,34,0.97,10
Greg Olsen,3647,TE,1,SEA,4,2,33,34,0.97,10
Eric Ebron,8645,TE,1,PIT,5,2,38,39,0.97,10
Robert Woods,7822,WR,1,LA,6,5,33,35,0.94,10
Jerick McKinnon,8731,HB,1,SF,2,1,13,14,0.93,10
Jesse James,9593,TE,1,DET,3,2,9,10,0.9,10
Kendrick Bourne,12270,WR,1,SF,5,4,26,29,0.9,10
Cameron Batson,47669,WR,1,TEN,2,2,8,9,0.89,10
C.J. Ham,11347,FB,1,MIN,1,1,8,9,0.89,10
Jalen Guyton,34164,WR,1,LAC,6,4,24,28,0.86,10
Robby Anderson,11254,WR,1,CAR,6,4,21,25,0.84,10
Christian Kirk,47546,WR,1,ARI,5,4,27,33,0.82,10
A.J. Brown,48327,WR,1,TEN,4,1,21,26,0.81,10
Mo Alie-Cox,12078,TE,1,IND,3,3,19,24,0.79,10
Samaje Perine,11869,HB,1,CIN,1,1,7,9,0.78,10
Justice Hill,45865,HB,1,BAL,1,1,3,4,0.75,10
Leonard Fournette,11759,HB,1,TB,3,2,11,16,0.69,10
Scotty Miller,47481,WR,1,TB,1,1,4,6,0.67,10
Rodney Smith,26306,HB,1,CAR,1,1,2,3,0.67,10
Isaiah McKenzie,11927,WR,1,BUF,1,1,2,3,0.67,10
Dalvin Cook,11796,HB,1,MIN,4,4,16,24,0.67,10
Jeremy McNichols,11917,HB,1,TEN,1,1,8,12,0.67,10
Richie James Jr.,28991,WR,1,SF,5,3,26,39,0.67,10
T.J. Hockenson,40912,TE,1,DET,4,2,13,21,0.62,10
Austin Hooper,10715,TE,1,CLE,1,1,11,18,0.61,10
Jonnu Smith,11855,TE,1,TEN,6,2,14,23,0.61,10
Derrick Henry,10679,HB,1,TEN,1,1,6,10,0.6,10
Quintez Cephus,29614,WR,1,DET,2,1,10,17,0.59,10
Ray-Ray McCloud III,47895,WR,1,PIT,2,2,4,7,0.57,10
Dawson Knox,35883,TE,1,BUF,4,2,16,28,0.57,10
D.K. Metcalf,47864,WR,1,SEA,4,2,28,49,0.57,10
Miles Sanders,40555,HB,1,PHI,5,2,10,18,0.56,10
Danny Amendola,4717,WR,1,DET,3,3,10,18,0.56,10
Giovani Bernard,7818,HB,1,CIN,7,4,17,31,0.55,10
Wayne Gallman,11895,HB,1,NYG,2,1,7,13,0.54,10
Evan Engram,11778,TE,1,NYG,3,2,15,28,0.54,10
Tyler Eifert,7802,TE,1,JAX,4,2,15,28,0.54,10
David Moore,11981,WR,1,SEA,3,2,16,30,0.53,10
Devontae Booker,10770,HB,1,LV,1,1,2,4,0.5,10
Dare Ogunbowale,12329,HB,1,JAX,2,1,5,10,0.5,10
Patrick Ricard,48862,FB,1,BAL,1,1,2,4,0.5,10
Noah Fant,42388,TE,1,DEN,7,3,18,39,0.46,10
Tyler Conklin,47124,TE,1,MIN,2,2,11,24,0.46,10
Ronald Jones,34001,HB,1,TB,2,1,6,14,0.43,10
Jordan Akins,47050,TE,1,HOU,2,1,5,12,0.42,10
Darrell Henderson,41193,HB,1,LA,1,1,5,12,0.42,10
James Conner,11860,HB,1,PIT,2,2,12,31,0.39,10
Cole Kmet,60995,TE,1,CHI,2,1,7,18,0.39,10
Nelson Agholor,9453,WR,1,LV,4,1,8,21,0.38,10
Marquise Brown,61568,WR,1,BAL,6,2,14,39,0.36,10
Larry Fitzgerald,1724,WR,1,ARI,5,2,13,37,0.35,10
Nick Boyle,9604,TE,1,BAL,1,1,4,12,0.33,10
Salvon Ahmed,57472,HB,1,MIA,1,1,5,15,0.33,10
Mack Hollins,11873,WR,1,MIA,1,1,1,3,0.33,10
Anthony Firkser,51837,TE,1,TEN,3,1,5,15,0.33,10
Curtis Samuel,11795,WR,1,CAR,5,3,8,25,0.32,10
Ian Thomas,42130,TE,1,CAR,1,1,7,22,0.32,10
Drew Sample,47259,TE,1,CIN,2,1,9,32,0.28,10
Travis Fulgham,48023,WR,1,PHI,4,1,8,34,0.24,10
Alex Collins,10805,HB,1,SEA,2,1,4,18,0.22,10
Emmanuel Sanders,5606,WR,1,NO,1,1,5,23,0.22,10
James Robinson,22425,HB,1,JAX,4,2,3,23,0.13,10
Darnell Mooney,48236,WR,1,CHI,2,2,3,31,0.1,10
J.K. Dobbins,57366,HB,1,BAL,2,1,1,18,0.06,10
Jared Cook,5012,TE,1,NO,2,0,0,18,0,10
Nick Westbrook,47861,WR,1,TEN,1,0,0,1,0,10
Terry Godwin,47946,WR,1,JAX,2,0,0,3,0,10
Tyler Johnson,48054,WR,1,TB,1,0,0,3,0,10
Foster Moreau,47043,TE,1,LV,1,0,0,3,0,10
Nick Chubb,45783,HB,1,CLE,1,0,0,5,0,10
Tre'Quan Smith,48228,WR,1,NO,1,0,0,10,0,10
Jeff Badet,48309,WR,1,WAS,1,0,0,4,0,10
Jordan Wilkins,26618,HB,1,IND,1,0,0,6,0,10
Phillip Lindsay,12660,HB,1,DEN,1,0,0,14,0,10
Gabriel Davis,55410,WR,1,BUF,3,0,0,25,0,10
Kyle Juszczyk,7912,FB,1,SF,1,0,0,9,0,10
Alshon Jeffery,7048,WR,1,PHI,1,0,0,15,0,10
A.J. Green,6156,WR,1,CIN,5,0,0,35,0,10
Jimmy Graham,5619,TE,1,CHI,1,0,0,15,0,10
Olabisi Johnson,47882,WR,1,MIN,1,0,0,1,0,10
Marcus Johnson,11074,WR,1,IND,1,0,0,6,0,10
Mike Thomas,10840,WR,1,CIN,2,0,0,15,0,10
James O'Shaughnessy,9606,TE,1,JAX,1,0,0,8,0,10
Duke Johnson Jr.,9510,HB,1,HOU,1,0,0,25,0,10
Melvin Gordon III,9448,HB,1,DEN,2,0,0,20,0,10
Zack Moss,40341,HB,1,BUF,2,1,-3,18,-0.17,10
Devin Singletary,40485,HB,1,BUF,2,1,-5,16,-0.31,10
JaMycal Hasty,25582,HB,1,SF,2,2,-4,10,-0.4,10
C.J. Prosise,10724,HB,1,HOU,1,1,-2,2,-1,10
Alex Armah,11948,FB,1,CAR,2,2,-5,4,-1.25,10
James Proche,48037,WR,1,BAL,1,1,14,1,14,11
Derek Carrier,7406,TE,1,LV,1,1,14,1,14,11
DeeJay Dallas,55632,HB,1,SEA,2,2,19,2,9.5,11
Zay Jones,11792,WR,1,LV,1,1,18,2,9,11
Nick Westbrook,47861,WR,1,TEN,1,1,7,1,7,11
Richard Rodgers,8733,TE,1,PHI,2,2,48,7,6.86,11
Blake Bell,9550,TE,1,DAL,1,1,13,2,6.5,11
Tyron Johnson,34427,WR,1,LAC,1,1,54,10,5.4,11
Jordan Wilkins,26618,HB,1,IND,1,1,15,3,5,11
Tim Patrick,12087,WR,1,DEN,7,5,119,25,4.76,11
Olabisi Johnson,47882,WR,1,MIN,1,1,9,2,4.5,11
Adam Thielen,8288,WR,1,MIN,11,8,123,30,4.1,11
D.J. Moore,48267,WR,1,CAR,9,7,127,32,3.97,11
Corey Davis,11760,WR,1,TEN,7,5,113,30,3.77,11
Donte Moncrief,8725,WR,1,NE,2,1,15,4,3.75,11
KhaDarel Hodge,26104,WR,1,CLE,5,3,73,20,3.65,11
Rashard Higgins,10806,WR,1,CLE,4,3,65,18,3.61,11
Nelson Agholor,9453,WR,1,LV,9,6,88,25,3.52,11
Michael Thomas,10681,WR,1,NO,11,9,104,30,3.47,11
Jordan Akins,47050,TE,1,HOU,6,5,83,24,3.46,11
Cooper Kupp,11824,WR,1,LA,13,11,145,42,3.45,11
Damiere Byrd,9964,WR,1,NE,6,6,132,39,3.38,11
Latavius Murray,7962,HB,1,NO,2,2,36,11,3.27,11
Darren Fells,8549,TE,1,HOU,2,2,29,9,3.22,11
James White,8765,HB,1,NE,7,6,64,20,3.2,11
Emmanuel Sanders,5606,WR,1,NO,5,4,66,21,3.14,11
Terry McLaurin,48229,WR,1,WAS,7,5,84,27,3.11,11
Mark Andrews,47436,TE,1,BAL,7,5,96,31,3.1,11
Darren Waller,9637,TE,1,LV,7,7,88,29,3.03,11
Travis Kelce,7844,TE,1,KC,10,8,127,44,2.89,11
Equanimeous St. Brown,47967,WR,1,GB,1,1,23,8,2.88,11
Keenan Allen,7857,WR,1,LAC,19,16,145,51,2.84,11
T.J. Hockenson,40912,TE,1,DET,6,4,68,24,2.83,11
Amari Cooper,9437,WR,1,DAL,7,6,81,29,2.79,11
Davante Adams,8688,WR,1,GB,9,7,106,39,2.72,11
Justin Jefferson,61398,WR,1,MIN,5,3,86,32,2.69,11
Alex Erickson,11107,WR,1,CIN,1,1,8,3,2.67,11
Robert Woods,7822,WR,1,LA,14,12,130,49,2.65,11
Hunter Renfrow,47509,WR,1,LV,2,2,37,14,2.64,11
Denzel Mims,47800,WR,1,NYJ,7,3,71,27,2.63,11
Jace Sternberger,47081,TE,1,GB,3,3,23,9,2.56,11
Diontae Johnson,33441,WR,1,PIT,17,12,111,45,2.47,11
Van Jefferson,47447,WR,1,LA,1,1,7,3,2.33,11
Randall Cobb,6216,WR,1,HOU,2,2,7,3,2.33,11
Julio Jones,6158,WR,1,ATL,2,2,39,17,2.29,11
Curtis Samuel,11795,WR,1,CAR,10,8,70,31,2.26,11
Dalvin Cook,11796,HB,1,MIN,5,5,45,20,2.25,11
Alec Ingold,34934,FB,1,LV,3,1,11,5,2.2,11
Calvin Ridley,48262,WR,1,ATL,10,5,90,41,2.2,11
Michael Pittman Jr.,29049,WR,1,IND,3,3,66,30,2.2,11
Tyreek Hill,10799,WR,1,KC,14,11,102,47,2.17,11
Zach Pascal,12303,WR,1,IND,3,3,54,25,2.16,11
Noah Fant,42388,TE,1,DEN,4,4,55,26,2.12,11
Ryan Izzo,47327,TE,1,NE,3,2,59,28,2.11,11
Kenyan Drake,10707,HB,1,ARI,4,4,31,15,2.07,11
Austin Hooper,10715,TE,1,CLE,5,3,33,16,2.06,11
Tyler Boyd,10689,WR,1,CIN,11,9,85,42,2.02,11
Jacob Hollister,12051,TE,1,SEA,3,2,14,7,2,11
Brandin Cooks,8655,WR,1,HOU,5,4,85,43,1.98,11
Dallas Goedert,47272,TE,1,PHI,6,5,77,39,1.97,11
Tyler Lockett,9502,WR,1,SEA,9,9,67,35,1.91,11
Adam Trautman,109795,TE,1,NO,1,1,19,10,1.9,11
Will Fuller V,10655,WR,1,HOU,8,6,80,42,1.9,11
A.J. Brown,48327,WR,1,TEN,7,4,62,33,1.88,11
Kyle Rudolph,6195,TE,1,MIN,3,3,28,15,1.87,11
Antonio Callaway,48101,WR,1,MIA,1,1,13,7,1.86,11
Nick Vannett,10728,TE,1,DEN,2,2,24,13,1.85,11
Jonathan Taylor,57488,HB,1,IND,4,4,24,13,1.85,11
Chase Claypool,42312,WR,1,PIT,7,4,59,32,1.84,11
Anthony Firkser,51837,TE,1,TEN,4,4,33,18,1.83,11
Maxx Williams,9488,TE,1,ARI,2,2,29,16,1.81,11
Aaron Jones,11937,HB,1,GB,4,4,30,17,1.76,11
K.J. Hamler,61590,WR,1,DEN,6,4,35,20,1.75,11
Breshad Perriman,9459,WR,1,NYJ,3,2,54,31,1.74,11
Nyheim Hines,48103,HB,1,IND,3,3,31,18,1.72,11
Pharaoh Brown,12247,TE,1,HOU,2,2,22,13,1.69,11
Chris Herndon,47164,TE,1,NYJ,3,2,32,19,1.68,11
Tyler Eifert,7802,TE,1,JAX,4,2,32,19,1.68,11
Antonio Brown,5718,WR,1,TB,13,8,57,34,1.68,11
Mike Williams,11762,WR,1,LAC,7,4,72,43,1.67,11
Trey Burton,9185,TE,1,IND,5,2,25,15,1.67,11
Ray-Ray McCloud III,47895,WR,1,PIT,4,4,20,12,1.67,11
Cameron Batson,47669,WR,1,TEN,2,2,21,13,1.62,11
Russell Gage,44771,WR,1,ATL,12,7,58,37,1.57,11
Larry Fitzgerald,1724,WR,1,ARI,10,8,62,40,1.55,11
Giovani Bernard,7818,HB,1,CIN,5,4,37,24,1.54,11
Jerry Jeudy,61103,WR,1,DEN,8,3,37,24,1.54,11
Marquez Valdes-Scantling,47809,WR,1,GB,6,3,55,36,1.53,11
Troymaine Pope,11473,HB,1,LAC,2,2,12,8,1.5,11
Mack Hollins,11873,WR,1,MIA,2,1,9,6,1.5,11
Robby Anderson,11254,WR,1,CAR,9,7,46,31,1.48,11
Boston Scott,39462,HB,1,PHI,3,3,26,18,1.44,11
Chase Edmonds,45851,HB,1,ARI,4,4,36,25,1.44,11
Olamide Zaccheaus,44920,WR,1,ATL,1,1,10,7,1.43,11
Marvin Jones Jr.,7158,WR,1,DET,6,4,51,36,1.42,11
Ty Johnson,45769,HB,1,NYJ,6,4,17,12,1.42,11
DeVante Parker,9447,WR,1,MIA,8,6,61,43,1.42,11
Dez Bryant,5549,WR,1,BAL,5,4,28,20,1.4,11
Jalen Reagor,61697,WR,1,PHI,5,4,52,38,1.37,11
J.D. McKissic,11047,HB,1,WAS,3,3,26,19,1.37,11
Salvon Ahmed,57472,HB,1,MIA,6,5,31,23,1.35,11
Robert Tonyan,12193,TE,1,GB,5,5,44,33,1.33,11
Keith Smith,9302,FB,1,ATL,1,1,4,3,1.33,11
Kerryon Johnson,34455,HB,1,DET,4,2,21,16,1.31,11
Darrel Williams,13014,HB,1,KC,3,3,22,17,1.29,11
T.Y. Hilton,7092,WR,1,IND,6,3,36,28,1.29,11
D.K. Metcalf,47864,WR,1,SEA,5,3,46,36,1.28,11
Mike Gesicki,47153,TE,1,MIA,5,4,43,34,1.26,11
CeeDee Lamb,61570,WR,1,DAL,6,4,34,27,1.26,11
Will Dissly,30762,TE,1,SEA,1,1,10,8,1.25,11
Patrick Ricard,48862,FB,1,BAL,1,1,5,4,1.25,11
Devine Ozigbo,45903,HB,1,JAX,3,3,5,4,1.25,11
Rex Burkhead,7971,HB,1,NE,2,2,5,4,1.25,11
D.J. Chark Jr.,47702,WR,1,JAX,6,4,41,33,1.24,11
Gerald Everett,11799,TE,1,LA,5,4,27,22,1.23,11
Mecole Hardman,42683,WR,1,KC,1,1,16,13,1.23,11
Jarvis Landry,8698,WR,1,CLE,2,2,23,19,1.21,11
Steven Sims,48341,WR,1,WAS,3,3,13,11,1.18,11
James Robinson,22425,HB,1,JAX,2,2,21,18,1.17,11
N'Keal Harry,48297,WR,1,NE,7,5,41,35,1.17,11
Cedrick Wilson,48170,WR,1,DAL,2,1,7,6,1.17,11
Cameron Brate,9207,TE,1,TB,4,3,23,20,1.15,11
Geoff Swaim,9679,TE,1,TEN,1,1,9,8,1.13,11
DeAndre Hopkins,7808,WR,1,ARI,8,5,51,45,1.13,11
Christian Blake,47900,WR,1,ATL,4,2,28,25,1.12,11
Damien Harris,35134,HB,1,NE,2,1,11,10,1.1,11
Irv Smith Jr.,42060,TE,1,MIN,2,2,23,21,1.1,11
Le'Veon Bell,7829,HB,1,KC,1,1,11,10,1.1,11
Christian Kirk,47546,WR,1,ARI,6,4,50,46,1.09,11
Mike Evans,8642,WR,1,TB,8,5,49,45,1.09,11
Chris Godwin,11839,WR,1,TB,10,7,53,49,1.08,11
Mo Alie-Cox,12078,TE,1,IND,2,2,16,15,1.07,11
Demarcus Robinson,10760,WR,1,KC,8,6,44,42,1.05,11
Michael Gallup,26075,WR,1,DAL,5,2,29,28,1.04,11
Greg Olsen,3647,TE,1,SEA,2,2,20,20,1,11
Nick Keizer,66940,TE,1,KC,1,1,5,5,1,11
Marcus Johnson,11074,WR,1,IND,2,1,14,14,1,11
A.J. Green,6156,WR,1,CIN,8,4,41,41,1,11
Ben Ellefson,27766,TE,1,JAX,3,1,10,10,1,11
Quintez Cephus,29614,WR,1,DET,2,1,9,9,1,11
Hunter Henry,10669,TE,1,LAC,6,4,48,49,0.98,11
Carlos Hyde,8692,HB,1,SEA,3,2,16,17,0.94,11
Dalton Schultz,47304,TE,1,DAL,6,4,25,27,0.93,11
Jakobi Meyers,47468,WR,1,NE,3,3,38,41,0.93,11
James Washington,47792,WR,1,PIT,3,1,12,13,0.92,11
Antonio Gibson,78050,HB,1,WAS,1,1,10,11,0.91,11
Marcedes Lewis,2973,TE,1,GB,1,1,8,9,0.89,11
J.K. Dobbins,57366,HB,1,BAL,2,2,15,17,0.88,11
Eric Ebron,8645,TE,1,PIT,6,4,36,41,0.88,11
Kalen Ballage,45741,HB,1,LAC,8,7,27,31,0.87,11
Jonnu Smith,11855,TE,1,TEN,6,4,20,23,0.87,11
Willie Snead IV,8999,WR,1,BAL,7,3,23,27,0.85,11
Drew Sample,47259,TE,1,CIN,4,2,29,35,0.83,11
Miles Sanders,40555,HB,1,PHI,5,3,15,18,0.83,11
Jeff Smith,48055,WR,1,NYJ,1,1,5,6,0.83,11
Keelan Cole,51593,WR,1,JAX,4,2,26,32,0.81,11
Rob Gronkowski,5567,TE,1,TB,6,2,25,31,0.81,11
Cam Akers,57206,HB,1,LA,1,1,4,5,0.8,11
Joshua Kelley,13750,HB,1,LAC,2,2,4,5,0.8,11
Mike Davis,9559,HB,1,CAR,2,2,15,19,0.79,11
Cam Sims,47908,WR,1,WAS,2,2,20,26,0.77,11
Tyler Higbee,10744,TE,1,LA,4,4,19,26,0.73,11
C.J. Prosise,10724,HB,1,HOU,2,2,8,11,0.73,11
Allen Lazard,48135,WR,1,GB,4,2,18,25,0.72,11
Isaiah Wright,40113,WR,1,WAS,1,1,7,10,0.7,11
Ezekiel Elliott,10638,HB,1,DAL,2,2,11,16,0.69,11
Josh Reynolds,11872,WR,1,LA,5,3,32,48,0.67,11
Jeremy McNichols,11917,HB,1,TEN,1,1,2,3,0.67,11
Frank Gore,2282,HB,1,NYJ,2,2,10,15,0.67,11
Kareem Hunt,11841,HB,1,CLE,1,1,10,15,0.67,11
Byron Pringle,42345,WR,1,KC,4,3,17,26,0.65,11
Duke Johnson Jr.,9510,HB,1,HOU,5,3,20,31,0.65,11
Josh Jacobs,45953,HB,1,LV,1,1,9,14,0.64,11
Devin Duvernay,40006,WR,1,BAL,2,1,5,8,0.63,11
Malcolm Perry,46513,WR,1,MIA,5,3,23,37,0.62,11
Jared Cook,5012,TE,1,NO,1,1,6,10,0.6,11
Jack Doyle,8520,TE,1,IND,2,1,6,10,0.6,11
Patrick Laird,28219,HB,1,MIA,2,1,8,14,0.57,11
Tee Higgins,61211,WR,1,CIN,10,3,26,46,0.57,11
Noah Brown,11993,WR,1,DAL,1,1,6,11,0.55,11
Marvin Hall,11440,WR,1,DET,3,3,16,30,0.53,11
Jamison Crowder,9538,WR,1,NYJ,2,1,16,30,0.53,11
Deonte Harris,91470,WR,1,NO,1,1,2,4,0.5,11
Malcolm Brown,9902,HB,1,LA,1,1,8,16,0.5,11
Clyde Edwards-Helaire,57279,HB,1,KC,2,1,8,16,0.5,11
Jamal Agnew,11920,WR,1,DET,6,3,10,21,0.48,11
JuJu Smith-Schuster,11817,WR,1,PIT,5,4,19,41,0.46,11
Chris Conley,9509,WR,1,JAX,4,1,13,30,0.43,11
James Conner,11860,HB,1,PIT,3,3,10,26,0.38,11
Keke Coutee,47698,WR,1,HOU,4,2,10,26,0.38,11
Andy Isabella,47448,WR,1,ARI,2,1,6,16,0.38,11
Leonard Fournette,11759,HB,1,TB,4,1,9,25,0.36,11
Devontae Booker,10770,HB,1,LV,1,1,3,9,0.33,11
Todd Gurley II,9443,HB,1,ATL,1,1,3,9,0.33,11
Auden Tate,48192,WR,1,CIN,2,1,5,15,0.33,11
Jakeem Grant,10820,WR,1,MIA,6,2,12,40,0.3,11
Greg Ward,12258,WR,1,PHI,4,3,9,31,0.29,11
David Moore,11981,WR,1,SEA,2,2,5,19,0.26,11
Eric Saubert,11929,TE,1,JAX,1,1,3,12,0.25,11
Dan Arnold,51842,TE,1,ARI,2,1,4,17,0.24,11
Henry Ruggs III,61102,WR,1,LV,1,1,5,21,0.24,11
Jesse James,9593,TE,1,DET,2,1,3,13,0.23,11
Darrell Henderson,41193,HB,1,LA,3,2,4,18,0.22,11
Logan Thomas,8755,TE,1,WAS,5,2,6,27,0.22,11
Travis Fulgham,48023,WR,1,PHI,7,1,8,39,0.21,11
Jamaal Williams,11889,HB,1,GB,2,1,4,21,0.19,11
Bryan Edwards,28486,WR,1,LV,2,1,1,7,0.14,11
De'Michael Harris,84418,WR,1,IND,1,1,1,7,0.14,11
Samaje Perine,11869,HB,1,CIN,1,1,2,19,0.11,11
Jason Witten,1384,TE,1,LV,1,1,1,12,0.08,11
Jalen Guyton,34164,WR,1,LAC,1,1,4,50,0.08,11
David Njoku,11784,TE,1,CLE,1,0,0,7,0,11
Alshon Jeffery,7048,WR,1,PHI,2,0,0,3,0,11
Luke Stocker,6256,TE,1,ATL,1,0,0,3,0,11
Dare Ogunbowale,12329,HB,1,JAX,3,0,0,12,0,11
La'Mical Perine,26408,HB,1,NYJ,1,0,0,3,0,11
Alex Armah,11948,FB,1,CAR,1,0,0,1,0,11
Ronald Jones,34001,HB,1,TB,1,0,0,12,0,11
Chris Manhertz,10211,TE,1,CAR,1,0,0,8,0,11
Adrian Peterson,3623,HB,1,DET,1,0,0,8,0,11
Marquise Brown,61568,WR,1,BAL,3,0,0,29,0,11
Troy Fumagalli,47333,TE,1,DEN,1,0,0,2,0,11
Alvin Kamara,11822,HB,1,NO,1,0,0,11,0,11
Hayden Hurst,47294,TE,1,ATL,3,0,0,38,0,11
Phillip Walker,12134,QB,1,CAR,1,0,0,1,0,11
Durham Smythe,47257,TE,1,MIA,1,0,0,1,0,11
Derrick Henry,10679,HB,1,TEN,2,1,-1,16,-0.06,11
Khari Blasingame,44889,FB,1,TEN,1,1,16,2,8,12
Jarvis Landry,8698,WR,1,CLE,11,8,143,21,6.81,12
Will Fuller V,10655,WR,1,HOU,7,6,171,28,6.11,12
D.K. Metcalf,47864,WR,1,SEA,13,10,177,30,5.9,12
Tyreek Hill,10799,WR,1,KC,14,13,269,48,5.6,12
Stephen Carlson,94365,TE,1,CLE,1,1,11,2,5.5,12
Chris Manhertz,10211,TE,1,CAR,1,1,11,2,5.5,12
A.J. Brown,48327,WR,1,TEN,6,4,98,20,4.9,12
Ronald Jones,34001,HB,1,TB,2,1,37,8,4.63,12
Tyron Johnson,34427,WR,1,LAC,4,2,63,14,4.5,12
Rob Gronkowski,5567,TE,1,TB,7,6,106,27,3.93,12
Deebo Samuel,48274,WR,1,SF,13,11,133,34,3.91,12
Equanimeous St. Brown,47967,WR,1,GB,2,2,39,10,3.9,12
Corey Davis,11760,WR,1,TEN,3,3,70,18,3.89,12
Kerryon Johnson,34455,HB,1,DET,4,4,52,14,3.71,12
Michael Thomas,10681,WR,1,NO,6,4,50,14,3.57,12
Jeff Smith,48055,WR,1,NYJ,1,1,7,2,3.5,12
Amari Cooper,9437,WR,1,DAL,8,6,112,32,3.5,12
Evan Engram,11778,TE,1,NYG,9,6,129,37,3.49,12
Geoff Swaim,9679,TE,1,TEN,3,3,30,9,3.33,12
Ryan Nall,45753,HB,1,CHI,1,1,10,3,3.33,12
Trayveon Williams,45775,HB,1,CIN,1,1,13,4,3.25,12
Terry McLaurin,48229,WR,1,WAS,9,7,92,29,3.17,12
Collin Johnson,47808,WR,1,JAX,8,4,96,32,3,12
Kyle Juszczyk,7912,FB,1,SF,2,2,24,8,3,12
Richard Rodgers,8733,TE,1,PHI,5,3,53,18,2.94,12
Jordan Wilkins,26618,HB,1,IND,4,3,35,12,2.92,12
Robert Tonyan,12193,TE,1,GB,5,5,67,23,2.91,12
DeVante Parker,9447,WR,1,MIA,13,8,119,42,2.83,12
Brandin Cooks,8655,WR,1,HOU,5,5,85,30,2.83,12
Gabriel Davis,55410,WR,1,BUF,3,3,79,28,2.82,12
Robby Anderson,11254,WR,1,CAR,7,4,94,34,2.76,12
KhaDarel Hodge,26104,WR,1,CLE,3,3,31,12,2.58,12
Chris Godwin,11839,WR,1,TB,9,8,97,38,2.55,12
Breshad Perriman,9459,WR,1,NYJ,8,4,79,31,2.55,12
T.J. Hockenson,40912,TE,1,DET,7,5,89,35,2.54,12
Jace Sternberger,47081,TE,1,GB,1,1,5,2,2.5,12
Curtis Samuel,11795,WR,1,CAR,5,5,72,29,2.48,12
Jakobi Meyers,47468,WR,1,NE,6,5,52,21,2.48,12
Hunter Renfrow,47509,WR,1,LV,9,7,73,31,2.35,12
T.Y. Hilton,7092,WR,1,IND,5,4,81,35,2.31,12
Austin Ekeler,12164,HB,1,LAC,14,11,85,37,2.3,12
Nick Chubb,45783,HB,1,CLE,3,3,32,14,2.29,12
Marcedes Lewis,2973,TE,1,GB,4,2,16,7,2.29,12
Devin Singletary,40485,HB,1,BUF,3,3,20,9,2.22,12
Chad Beebe,21528,WR,1,MIN,7,7,63,29,2.17,12
Denzel Mims,47800,WR,1,NYJ,8,4,67,31,2.16,12
Robert Woods,7822,WR,1,LA,11,7,80,37,2.16,12
J.D. McKissic,11047,HB,1,WAS,2,2,21,10,2.1,12
Nyheim Hines,48103,HB,1,IND,10,8,66,32,2.06,12
Davante Adams,8688,WR,1,GB,9,6,61,30,2.03,12
Trey Burton,9185,TE,1,IND,5,3,42,21,2,12
Malcolm Perry,46513,WR,1,MIA,1,1,8,4,2,12
Duke Johnson Jr.,9510,HB,1,HOU,3,3,43,22,1.95,12
Henry Ruggs III,61102,WR,1,LV,5,3,56,29,1.93,12
Jimmy Graham,5619,TE,1,CHI,4,3,32,17,1.88,12
Dontrelle Inman,6597,WR,1,WAS,1,1,15,8,1.88,12
Noah Fant,42388,TE,1,DEN,2,1,13,7,1.86,12
C.J. Board,12088,WR,1,NYG,1,1,11,6,1.83,12
Boston Scott,39462,HB,1,PHI,5,5,40,22,1.82,12
Nelson Agholor,9453,WR,1,LV,6,5,54,30,1.8,12
D.J. Moore,48267,WR,1,CAR,9,4,61,34,1.79,12
Kyle Rudolph,6195,TE,1,MIN,7,7,68,38,1.79,12
Hayden Hurst,47294,TE,1,ATL,8,4,48,27,1.78,12
Drew Sample,47259,TE,1,CIN,5,4,40,23,1.74,12
Damiere Byrd,9964,WR,1,NE,8,3,33,19,1.74,12
Travis Kelce,7844,TE,1,KC,9,8,82,47,1.74,12
Durham Smythe,47257,TE,1,MIA,3,3,19,11,1.73,12
Cameron Brate,9207,TE,1,TB,6,4,34,20,1.7,12
James O'Shaughnessy,9606,TE,1,JAX,4,2,17,10,1.7,12
Olabisi Johnson,47882,WR,1,MIN,7,7,74,45,1.64,12
Riley Ridley,47933,WR,1,CHI,2,2,16,10,1.6,12
Quintez Cephus,29614,WR,1,DET,2,2,27,17,1.59,12
Allen Robinson II,8696,WR,1,CHI,12,8,74,47,1.57,12
Sterling Shepard,10674,WR,1,NYG,8,7,64,41,1.56,12
Tee Higgins,61211,WR,1,CIN,5,5,44,29,1.52,12
Frank Gore,2282,HB,1,NYJ,3,3,12,8,1.5,12
Lee Smith,6311,TE,1,BUF,1,1,3,2,1.5,12
Chris Carson,12004,HB,1,SEA,2,2,18,12,1.5,12
Brandon Dillon,91468,TE,1,MIN,1,1,6,4,1.5,12
Hunter Henry,10669,TE,1,LAC,10,7,67,45,1.49,12
Justin Jefferson,61398,WR,1,MIN,12,7,70,48,1.46,12
DeAndre Hopkins,7808,WR,1,ARI,7,5,55,38,1.45,12
Mecole Hardman,42683,WR,1,KC,5,3,23,16,1.44,12
Dallas Goedert,47272,TE,1,PHI,10,7,75,53,1.42,12
Michael Gallup,26075,WR,1,DAL,8,6,41,29,1.41,12
Jonathan Williams,10790,HB,1,DET,4,4,21,15,1.4,12
KeeSean Johnson,39587,WR,1,ARI,1,1,7,5,1.4,12
Stefon Diggs,9579,WR,1,BUF,9,7,39,28,1.39,12
Calvin Ridley,48262,WR,1,ATL,7,6,50,37,1.35,12
Mohamed Sanu,7084,WR,1,DET,4,4,32,24,1.33,12
