posteam,defteam,week,play_type,yards_gained,sack,epa,play_clock
TEN,ARI,1,run,4,0,-0.2945116125047207,4
TEN,ARI,1,pass,10,0,1.6789876348339021,7
TEN,ARI,1,run,7,0,0.3280685027129948,11
TEN,ARI,1,pass,0,0,-0.8134095252025872,26
TEN,ARI,1,pass,5,0,1.0378397409804165,1
TEN,ARI,1,pass,0,0,-0.48240107554011047,20
TEN,ARI,1,pass,0,0,-0.8248961244244128,2
TEN,ARI,1,pass,0,0,-1.2664933395572007,6
TEN,ARI,1,pass,-8,1,-3.144721832824871,4
ARI,TEN,1,run,6,0,0.3518020885530859,2
ARI,TEN,1,run,1,0,-0.4315644653979689,5
ARI,TEN,1,run,5,0,1.1563728753244504,3
ARI,TEN,1,run,3,0,-0.15989111782982945,3
ARI,TEN,1,run,2,0,-0.31895053130574524,3
ARI,TEN,1,run,1,0,-1.1234683166060018,1
TEN,ARI,1,pass,10,0,0.352776815649122,12
TEN,ARI,1,pass,8,0,0.18862763326615095,27
TEN,ARI,1,pass,10,0,0.5258611608296633,24
TEN,ARI,1,pass,8,0,0.4007656055036932,22
TEN,ARI,1,pass,-10,1,-2.556364855961874,22
TEN,ARI,1,pass,7,0,-0.09487565909512341,7
TEN,ARI,1,pass,0,0,-2.1374651384539902,26
ARI,TEN,1,run,2,0,-0.24922302924096584,7
ARI,TEN,1,pass,9,0,0.95641546882689,4
ARI,TEN,1,run,6,0,0.19048476254101843,1
ARI,TEN,1,run,8,0,0.7986067242454737,3
ARI,TEN,1,run,2,0,0.3711284041637555,1
ARI,TEN,1,run,1,0,-0.7728610901976936,4
ARI,TEN,1,run,1,0,-0.19850719009991735,6
ARI,TEN,1,run,1,0,-1.1591821921174414,2
TEN,ARI,1,run,8,0,0.10900066449539736,9
TEN,ARI,1,run,1,0,-0.06485212501138449,4
TEN,ARI,1,run,2,0,0.008294709143228829,3
LV,BAL,1,pass,0,0,-0.7341083255596459,8
LV,BAL,1,pass,9,0,0.9487852076999843,11
LV,BAL,1,run,31,0,2.103990484494716,1
LV,BAL,1,run,-1,0,-0.9075506592635065,3
LV,BAL,1,run,2,0,-0.4500848697498441,15
LV,BAL,1,pass,13,0,2.237393880961463,4
LV,BAL,1,run,3,0,-1.0558508693939075,13
LV,BAL,1,pass,0,0,-0.504910278483294,10
LV,BAL,1,pass,0,0,-0.6587496548891068,1
LV,BAL,1,run,0,0,-2.25334973144345,1
BAL,LV,1,run,3,0,-0.20051829307340086,20
BAL,LV,1,run,18,0,1.7216968024149537,9
BAL,LV,1,pass,2,0,-0.5340525191277266,2
BAL,LV,1,run,2,0,-0.4283181894570589,5
BAL,LV,1,pass,8,0,1.6319310069084167,4
BAL,LV,1,pass,0,0,-0.6085089510306716,7
BAL,LV,1,run,2,0,-0.8288835347630084,4
BAL,LV,1,pass,-6,1,-1.3667416209354997,4
LV,BAL,1,pass,0,0,-0.6061705984175205,15
LV,BAL,1,pass,0,0,-0.8046081573702395,1
LV,BAL,1,pass,0,0,-1.5169886839576066,1
BAL,LV,1,pass,0,0,-0.5729432189837098,13
BAL,LV,1,pass,21,0,1.9906201222911477,3
BAL,LV,1,run,3,0,-0.2082901573739946,11
BAL,LV,1,pass,0,0,-0.8886596469674259,4
BAL,LV,1,pass,6,0,0.08353073126636446,6
BAL,LV,1,run,35,0,5.008027086500078,5
LV,BAL,1,run,13,0,0.7486085700802505,4
LV,BAL,1,run,0,0,-0.6317232409492135,12
LV,BAL,1,pass,0,0,-0.8036247631534934,11
LV,BAL,1,pass,0,0,-1.4886920633725822,3
BAL,LV,1,pass,6,0,0.21224740939214826,7
BAL,LV,1,run,-3,0,-1.4778719586320221,13
BAL,LV,1,pass,0,0,-1.3775091548450291,6
LV,BAL,1,run,0,0,-0.5685648145154119,13
LV,BAL,1,pass,6,0,-0.04743192810565233,2
LV,BAL,1,pass,-11,1,-2.263275498058647,6
BAL,LV,1,pass,29,0,1.7215107443043962,0
BAL,LV,1,run,0,0,-1.275242398842238,8
BAL,LV,1,pass,29,0,2.8758400831138715,4
BAL,LV,1,pass,0,0,-0.4896348980255425,2
BAL,LV,1,run,4,0,-0.5292508744169027,4
BAL,LV,1,pass,10,0,2.9832872092956677,12
LV,BAL,1,pass,5,0,-0.1257721371948719,0
LV,BAL,1,pass,6,0,0.7759803144726902,5
LV,BAL,1,pass,12,0,0.5659971418790519,11
LV,BAL,1,pass,9,0,0.6662174251396209,10
LV,BAL,1,run,0,0,-0.4505389367695898,9
LV,BAL,1,pass,24,0,1.7545545977773145,3
LV,BAL,1,pass,0,0,-0.4651877306168899,2
LV,BAL,1,pass,8,0,0.3982598839793354,4
LV,BAL,1,run,2,0,0.7460400896088686,12
BAL,LV,1,run,1,0,-0.6737859984859824,0
BAL,LV,1,pass,13,0,1.443152459221892,4
BAL,LV,1,run,16,0,0.938931072189007,7
BAL,LV,1,run,3,0,-0.2217382297385484,2
BAL,LV,1,pass,4,0,0.20688628510106355,13
BAL,LV,1,run,2,0,-1.2289401409216225,11
BAL,LV,1,run,0,0,-3.13508591306163,13
LV,BAL,1,pass,0,0,-0.4175984456669539,11
LV,BAL,1,pass,15,0,0.9375794827356003,6
LV,BAL,1,pass,0,0,-0.3039069802616723,26
LV,BAL,1,pass,0,0,-0.4016681133653037,4
LV,BAL,1,pass,13,0,1.1408123819273897,2
LV,BAL,1,pass,7,0,0.3669431775342673,11
LV,BAL,1,pass,0,0,-0.20736469462281093,3
LV,BAL,1,pass,-2,1,-0.26623774411297996,7
BAL,LV,1,pass,10,0,0.5667417710646987,13
BAL,LV,1,pass,0,0,-0.6056092628277838,7
BAL,LV,1,run,4,0,-0.011990451719611883,6
BAL,LV,1,pass,0,0,-0.9313849958125502,6
BAL,LV,1,pass,0,0,-1.7496934968512505,5
LV,BAL,1,run,2,0,-0.5369589414913207,20
LV,BAL,1,pass,0,0,-0.7793515173252672,14
LV,BAL,1,run,2,0,-0.9032423675525934,7
BAL,LV,1,pass,0,0,-0.612385377753526,21
BAL,LV,1,run,11,0,1.4338371661724523,7
BAL,LV,1,run,6,0,0.2248890174087137,4
BAL,LV,1,run,-1,0,-0.7101192086702213,4
BAL,LV,1,pass,0,0,-1.4774488355653093,2
LV,BAL,1,run,4,0,-0.3665249370969832,12
LV,BAL,1,pass,4,0,0.12513945810496807,9
LV,BAL,1,pass,12,0,0.3759927626233548,1
LV,BAL,1,pass,16,0,1.7071561651537195,14
LV,BAL,1,pass,2,0,-0.4901692747371271,4
LV,BAL,1,pass,3,0,-0.15525662410072982,2
LV,BAL,1,pass,4,0,-0.2701483857817948,10
LV,BAL,1,run,0,0,-4.296621235320345,10
BAL,LV,1,run,15,0,0.9193501365371048,10
BAL,LV,1,pass,6,0,0.27720201201736927,4
BAL,LV,1,run,3,0,-1.06472684815526,2
BAL,LV,1,pass,4,0,-0.18699709698557854,6
BAL,LV,1,pass,-6,1,-2.055203251540661,5
LV,BAL,1,pass,0,0,-0.5166679318062961,12
LV,BAL,1,pass,-13,1,-2.1738800150342286,0
