Position,Player,Points,Salary,Team,Opp,Minutes,Date,Started,Home.Away,Win.Loss
SG,Paul George,47,7800,LAC,LAL,35,2020-12-22,1,Away,Win
PG,Stephen Curry,45,9300,GSW,BKN,30,2020-12-22,1,Away,Loss
PG/SG,Dennis Schroder,43,5800,LAL,LAC,27,2020-12-22,1,Home,Loss
PG,Kyrie Irving,38.5,8500,BKN,GSW,25,2020-12-22,1,Home,Win
PG/SF,LeBron James,35.2,9600,LAL,LAC,28,2020-12-22,1,Home,Loss
PG,Patrick Beverley,22,4400,LAC,LAL,22,2020-12-22,1,Away,Win
PG,Spencer Dinwiddie,20.2,6000,BKN,GSW,19,2020-12-22,1,Home,Win
PG/SG,Louis Williams,18.5,5400,LAC,LAL,25,2020-12-22,0,Away,Win
SG,Damion Lee,15.2,3700,GSW,BKN,12,2020-12-22,0,Away,Loss
SG,Mychal Mulder,10.2,3500,GSW,BKN,6,2020-12-22,0,Away,Loss
PG,Brad Wanamaker,8.2,3300,GSW,BKN,21,2020-12-22,0,Away,Loss
PG/SG,Jordan Poole,8,4100,GSW,BKN,17,2020-12-22,0,Away,Loss
PG/SG,Alex Caruso,6,4000,LAL,LAC,16,2020-12-22,0,Home,Loss
PG/SG,Bruce Brown,3.8,3700,BKN,GSW,7,2020-12-22,0,Home,Win
PG,Tyler Johnson,3.2,3500,BKN,GSW,5,2020-12-22,0,Home,Win
PG,Reggie Jackson,1.2,4600,LAC,LAL,3,2020-12-22,0,Away,Win
PG,Quinn Cook,0,3200,LAL,LAC,1,2020-12-22,0,Home,Loss
PG,Terance Mann,0,3300,LAC,LAL,1,2020-12-22,0,Away,Win
SG/SF,Caris LeVert,45.2,6500,BKN,GSW,24,2020-12-22,0,Home,Win
PF,Kevin Durant,40.8,9800,BKN,GSW,24,2020-12-22,1,Home,Win
SG/SF,Kawhi Leonard,36,9100,LAC,LAL,34,2020-12-22,1,Away,Win
SG/SF,Joe Harris,23.8,4800,BKN,GSW,20,2020-12-22,1,Home,Win
SF/PF,Nicolas Batum,23.5,4100,LAC,LAL,28,2020-12-22,1,Away,Win
SF/PF,Kelly Oubre,22.2,6700,GSW,BKN,25,2020-12-22,1,Away,Loss
SG/SF,Kentavious Caldwell-Pope,18.5,4200,LAL,LAC,23,2020-12-22,1,Home,Loss
SG/SF,Andrew Wiggins,18,7000,GSW,BKN,31,2020-12-22,1,Away,Loss
SF/PF,Juan Toscano-Anderson,16,3400,GSW,BKN,13,2020-12-22,0,Away,Loss
SF/PF,Kyle Kuzma,15.8,5500,LAL,LAC,26,2020-12-22,0,Home,Loss
SG/SF,Luke Kennard,15,3600,LAC,LAL,21,2020-12-22,0,Away,Win
PF,Eric Paschall,9.8,3800,GSW,BKN,21,2020-12-22,1,Away,Loss
SG/SF,Talen Horton-Tucker,8.8,3500,LAL,LAC,10,2020-12-22,0,Home,Loss
SG/SF,Landry Shamet,8.8,4500,BKN,GSW,19,2020-12-22,0,Home,Win
SF,Kent Bazemore,8.5,4300,GSW,BKN,11,2020-12-22,0,Away,Loss
SF,Timothe Luwawu,7.5,3600,BKN,GSW,6,2020-12-22,0,Home,Win
PF,Taurean Prince,6.2,3900,BKN,GSW,16,2020-12-22,0,Home,Win
SG/SF,Wes Matthews,2,3800,LAL,LAC,11,2020-12-22,0,Home,Loss
SF,Amir Coffey,0,3100,LAC,LAL,0,2020-12-22,0,Away,Win
PF/C,Montrezl Harrell,37,5300,LAL,LAC,32,2020-12-22,0,Home,Loss
C,James Wiseman,30.5,4900,GSW,BKN,24,2020-12-22,1,Away,Loss
PF/C,Anthony Davis,27.8,10000,LAL,LAC,30,2020-12-22,1,Home,Loss
C,Serge Ibaka,25,5200,LAC,LAL,20,2020-12-22,1,Away,Win
C,Jarrett Allen,24.8,6200,BKN,GSW,19,2020-12-22,0,Home,Win
C,Ivica Zubac,23.5,5000,LAC,LAL,26,2020-12-22,0,Away,Win
C,DeAndre Jordan,21.8,5600,BKN,GSW,17,2020-12-22,1,Home,Win
C,Marquese Chriss,21,4000,GSW,BKN,12,2020-12-22,0,Away,Loss
PF/C,Patrick Patterson,12.2,4200,LAC,LAL,19,2020-12-22,0,Away,Win
PF/C,Markieff Morris,12,4300,LAL,LAC,19,2020-12-22,0,Home,Loss
PF/C,Jeff Green,10.5,3900,BKN,GSW,17,2020-12-22,0,Home,Win
PF/C,Reggie Perry,6,3000,BKN,GSW,7,2020-12-22,0,Home,Win
C,Kevon Looney,5.5,5200,GSW,BKN,11,2020-12-22,0,Away,Loss
PF/C,Rodions Kurucs,4.8,3400,BKN,GSW,6,2020-12-22,0,Home,Win
C,Marc Gasol,2.2,4700,LAL,LAC,12,2020-12-22,1,Home,Loss
PF/C,Mfiondu Kabengele,0,3000,LAC,LAL,0,2020-12-22,0,Away,Win
PG,Ja Morant,66,8400,MEM,SAS,35,2020-12-23,1,Home,Loss
PG,Russell Westbrook,58.8,9300,WAS,PHI,36,2020-12-23,1,Away,Loss
PG/SG,Terry Rozier,58.2,5900,CHA,CLE,37,2020-12-23,1,Away,Loss
PG,Trae Young,55.5,9400,ATL,CHI,25,2020-12-23,1,Away,Win
PG,Luka Doncic,49,10000,DAL,PHO,35,2020-12-23,1,Away,Loss
PG,Malcolm Brogdon,46.2,6200,IND,NYK,34,2020-12-23,1,Home,Win
PG/SF,Ben Simmons,45.8,8700,PHI,WAS,32,2020-12-23,1,Home,Win
PG,Dejounte Murray,45,5600,SAS,MEM,30,2020-12-23,1,Away,Win
SG,Bradley Beal,44.5,8500,WAS,PHI,35,2020-12-23,1,Away,Loss
PG/SF,Jimmy Butler,44.2,7700,MIA,ORL,35,2020-12-23,1,Away,Loss
PG,Jrue Holiday,42,6900,MIL,BOS,38,2020-12-23,1,Away,Loss
PG,Darius Garland,41.5,4100,CLE,CHA,32,2020-12-23,1,Home,Win
PG,De'Aaron Fox,40,7800,SAC,DEN,38,2020-12-23,1,Away,Win
SG,Evan Fournier,37.5,5800,ORL,MIA,30,2020-12-23,1,Home,Win
PG,Goran Dragic,37.5,5100,MIA,ORL,25,2020-12-23,0,Away,Loss
PG/SG,Collin Sexton,37.5,6100,CLE,CHA,37,2020-12-23,1,Home,Win
PG,Kyle Lowry,36.8,7100,TOR,NOR,38,2020-12-23,1,Home,Loss
PG,Jeff Teague,36.8,4000,BOS,MIL,25,2020-12-23,0,Home,Win
PG/SG,C.J. McCollum,36,7300,POR,UTA,34,2020-12-23,1,Home,Loss
SG,Alec Burks,36,4800,NYK,IND,31,2020-12-23,0,Away,Loss
PG/SG,Victor Oladipo,35.5,6100,IND,NYK,28,2020-12-23,1,Home,Win
PG/SG,Donovan Mitchell,34.2,8000,UTA,POR,30,2020-12-23,1,Away,Win
SG,Devin Booker,33.8,8900,PHO,DAL,34,2020-12-23,1,Home,Win
PG/SG,Eric Bledsoe,33.5,5600,NOR,TOR,34,2020-12-23,1,Away,Win
PG/SG,D'Angelo Russell,33.2,7200,MIN,DET,33,2020-12-23,0,Home,Win
PG,Shake Milton,31.8,4100,PHI,WAS,29,2020-12-23,0,Home,Win
SG,Lonnie Walker,31.5,4200,SAS,MEM,34,2020-12-23,1,Away,Win
PG,Derrick Rose,31.2,5800,DET,MIN,26,2020-12-23,0,Away,Loss
PG,Lonzo Ball,30.8,6500,NOR,TOR,28,2020-12-23,1,Away,Win
PG,Cory Joseph,30.8,3600,SAC,DEN,29,2020-12-23,0,Away,Win
PG/SG,Donte DiVincenzo,30.8,4000,MIL,BOS,27,2020-12-23,1,Away,Loss
PG,Devonte' Graham,30.2,6400,CHA,CLE,37,2020-12-23,1,Away,Loss
PG,Markelle Fultz,29.2,5000,ORL,MIA,28,2020-12-23,1,Home,Win
SG,Bogdan Bogdanovic,29.2,5000,ATL,CHI,24,2020-12-23,0,Away,Win
PG,Damian Lillard,28.5,9000,POR,UTA,33,2020-12-23,1,Home,Loss
PG/SG,Jordan Clarkson,28.2,4200,UTA,POR,22,2020-12-23,0,Away,Win
SG,Zach LaVine,26,7900,CHI,ATL,25,2020-12-23,1,Home,Loss
PG,Mike Conley,25.8,6300,UTA,POR,29,2020-12-23,1,Away,Win
PG/SG,Tyler Herro,25,5500,MIA,ORL,32,2020-12-23,1,Away,Loss
PG/SG,Fred VanVleet,23.8,6700,TOR,NOR,29,2020-12-23,1,Home,Loss
