Position,Player,Points,Salary,Team,Opp,Minutes,Stats,Date,Started,Home.Away,TeamScore,OppScore,Win.Loss
SG,James Harden,44.2,9900,hou,lal,31,  32pt 1rb 6as 1st 3trey 7-17fg 15-16ft,2014-10-28,Yes,Away,108,90,Win
SG,Monta Ellis,38.8,8100,dal,sas,37,  26pt 4rb 6as 1st 3to 1trey 11-21fg 3-4ft,2014-10-28,Yes,Away,100,101,Loss
SG,Manu Ginobili,32.4,5400,sas,dal,28,  20pt 2rb 6as 2st 3to 2trey 6-13fg 6-7ft,2014-10-28,No,Home,101,100,Win
SG,Tyreke Evans,31.8,7400,nor,orl,35,  12pt 9rb 6as 5-15fg 2-5ft,2014-10-28,Yes,Home,101,84,Win
PG,Tony Parker,30.1,7300,sas,dal,35,  23pt 3rb 3as 1to 4trey 9-15fg 1-2ft,2014-10-28,Yes,Home,101,100,Win
PG,Devin Harris,27.5,4300,dal,sas,29,  17pt 5as 2st 1to 2trey 6-12fg 3-4ft,2014-10-28,No,Away,100,101,Loss
SG,Kobe Bryant,26.6,9000,lal,hou,29,  19pt 3rb 2as 1st 1to 6-17fg 7-8ft,2014-10-28,Yes,Home,90,108,Loss
PG,Jrue Holiday,22.4,7400,nor,orl,27,  8pt 2rb 4as 3st 1bl 2to 4-11fg 0-0ft,2014-10-28,Yes,Home,101,84,Win
SG,Marco Belinelli,21.9,4200,sas,dal,31,  15pt 2rb 3as 1st 2to 3trey 5-8fg 2-2ft,2014-10-28,Yes,Home,101,100,Win
PG,Elfrid Payton,20.5,5600,orl,nor,31,  4pt 5rb 7as 1st 2to 2-8fg 0-0ft,2014-10-28,Yes,Away,84,101,Loss
PG,Patrick Beverley,20.5,4900,hou,lal,31,  9pt 5rb 5as 2to 2trey 2-6fg 3-6ft,2014-10-28,Yes,Away,108,90,Win
SG,Danny Green,18.3,4400,sas,dal,34,  13pt 4rb 1as 1st 3to 3trey 5-9fg 0-0ft,2014-10-28,Yes,Home,101,100,Win
SG,Eric Gordon,17.8,5900,nor,orl,32,  8pt 4rb 2st 2bl 3to 1trey 3-8fg 1-3ft,2014-10-28,Yes,Home,101,84,Win
PG,Jameer Nelson,17.5,6000,dal,sas,30,  9pt 3as 1st 1bl 3trey 3-7fg 0-0ft,2014-10-28,Yes,Away,100,101,Loss
SG,Jordan Clarkson,14.8,3500,lal,hou,20,  8pt 4rb 2as 1to 1trey 1-4fg 5-6ft,2014-10-28,No,Home,90,108,Loss
PG,Ronnie Price,14.7,3500,lal,hou,27,  7pt 1rb 3as 2st 2to 1trey 1-7fg 4-4ft,2014-10-28,No,Home,90,108,Loss
SG,Austin Rivers,14.7,3900,nor,orl,20,  7pt 1rb 3as 1st 2-5fg 3-6ft,2014-10-28,No,Home,101,84,Win
PG,Jeremy Lin,14.4,5500,lal,hou,29,  7pt 2rb 6as 4to 1-5fg 5-6ft,2014-10-28,Yes,Home,90,108,Loss
SG,Evan Fournier,13.6,4500,orl,nor,32,  11pt 3rb 2as 4to 2trey 3-11fg 3-3ft,2014-10-28,Yes,Away,84,101,Loss
SG,Ben Gordon,11.3,3500,orl,nor,23,  5pt 4rb 1as 1-8fg 3-4ft,2014-10-28,No,Away,84,101,Loss
PG,Cory Joseph,11.2,3500,sas,dal,17,  7pt 1rb 2as 1trey 3-4fg 0-0ft,2014-10-28,No,Home,101,100,Win
SG,Jason Terry,8.5,3800,hou,lal,21,  8pt 1as 1to 2trey 3-5fg 0-0ft,2014-10-28,No,Away,108,90,Win
PG,Jimmer Fredette,7,3500,nor,orl,18,  2pt 2as 1st 0-6fg 2-2ft,2014-10-28,No,Home,101,84,Win
SG,Xavier Henry,6.2,3500,lal,hou,18,  3pt 1rb 1st 0-4fg 3-4ft,2014-10-28,No,Home,90,108,Loss
PG,Luke Ridnour,3.9,4700,orl,nor,17,  2pt 2rb 1as 2to 0-3fg 2-2ft,2014-10-28,No,Away,84,101,Loss
SG,Willie Green,2.4,3500,orl,nor,4,  0pt 2rb 0-1fg 0-0ft,2014-10-28,No,Away,84,101,Loss
PG,Isaiah Canaan,2.2,3600,hou,lal,7,  2pt 1rb 1to 0-1fg 2-2ft,2014-10-28,No,Away,108,90,Win
PG,Troy Daniels,2,3500,hou,lal,9,  2pt 0-5fg 2-2ft,2014-10-28,No,Away,108,90,Win
PF,Anthony Davis,73.4,10100,nor,orl,36,  26pt 17rb 2as 3st 9bl 10-22fg 6-9ft,2014-10-28,Yes,Home,101,84,Win
PF,Terrence Jones,42.1,5700,hou,lal,31,  16pt 13rb 3as 2st 2bl 2to 8-16fg 0-1ft,2014-10-28,Yes,Away,108,90,Win
PF,Tim Duncan,33.6,7900,sas,dal,30,  14pt 13rb 2as 1st 2bl 5to 5-10fg 4-5ft,2014-10-28,Yes,Home,101,100,Win
PF,Ryan Anderson,32.8,6500,nor,orl,22,  22pt 9rb 3trey 9-22fg 1-3ft,2014-10-28,No,Home,101,84,Win
SF,Tobias Harris,32.6,6400,orl,nor,37,  25pt 8rb 1st 4to 1trey 9-18fg 6-6ft,2014-10-28,Yes,Away,84,101,Loss
PF,Carlos Boozer,30.4,6600,lal,hou,28,  17pt 7rb 2as 1st 7-13fg 3-3ft,2014-10-28,Yes,Home,90,108,Loss
PF,Dirk Nowitzki,29.2,7900,dal,sas,32,  18pt 6rb 2as 1st 1to 7-11fg 4-4ft,2014-10-28,Yes,Away,100,101,Loss
SF,Trevor Ariza,24.6,6100,hou,lal,30,  16pt 3rb 2as 2st 2to 5trey 5-10fg 1-1ft,2014-10-28,Yes,Away,108,90,Win
PF,Ed Davis,24.2,3700,lal,hou,22,  11pt 6rb 1st 2bl 5-7fg 1-2ft,2014-10-28,No,Home,90,108,Loss
PF,Boris Diaw,20.8,4200,sas,dal,33,  5pt 9rb 6as 4to 1trey 2-6fg 0-0ft,2014-10-28,No,Home,101,100,Win
SF,Kostas Papanikolaou,19.2,3500,hou,lal,20,  4pt 6rb 4as 2st 2to 2-6fg 0-0ft,2014-10-28,No,Away,108,90,Win
PF,Aaron Gordon,15.6,3500,orl,nor,28,  11pt 3rb 1st 1bl 3to 1trey 5-8fg 0-0ft,2014-10-28,No,Away,84,101,Loss
SF,Chandler Parsons,14.8,6800,dal,sas,34,  5pt 4rb 2st 1bl 1to 1trey 2-10fg 0-0ft,2014-10-28,Yes,Away,100,101,Loss
SF,Wesley Johnson,9.4,4600,lal,hou,23,  7pt 2rb 1trey 3-7fg 0-0ft,2014-10-28,Yes,Home,90,108,Loss
SF,Richard Jefferson,8.9,3500,dal,sas,13,  6pt 2rb 1as 1to 1trey 1-3fg 3-4ft,2014-10-28,No,Away,100,101,Loss
PF,Donatas Motiejunas,8,3800,hou,lal,16,  4pt 5rb 2to 0-0fg 4-6ft,2014-10-28,No,Away,108,90,Win
PF,Tarik Black,4.4,3500,hou,lal,24,  2pt 2rb 1-2fg 0-0ft,2014-10-28,No,Away,108,90,Win
SF,Jae Crowder,4,3500,dal,sas,11,  5pt 1to 2-2fg 1-1ft,2014-10-28,No,Away,100,101,Loss
SF,John Salmons,3.9,3500,nor,orl,10,  0pt 2rb 1as 0-0fg 0-0ft,2014-10-28,No,Home,101,84,Win
SF,Al-Farouq Aminu,1.4,4400,dal,sas,5,  0pt 2rb 1to 0-2fg 0-0ft,2014-10-28,No,Away,100,101,Loss
PF,Julius Randle,1,5500,lal,hou,14,  2pt 1to 1-3fg 0-2ft,2014-10-28,No,Home,90,108,Loss
PF,Greg Smith,0,3500,dal,sas,2,  0pt 0-0fg 0-0ft,2014-10-28,No,Away,100,101,Loss
SF,Luke Babbitt,0,3500,nor,orl,2,  0pt 0-0fg 0-0ft,2014-10-28,No,Home,101,84,Win
C,Nikola Vucevic,53.1,8100,orl,nor,35,  15pt 23rb 1as 1st 4bl 1to 7-15fg 1-2ft,2014-10-28,Yes,Away,84,101,Loss
C,Omer Asik,44.4,4900,nor,orl,34,  14pt 17rb 2as 5bl 3to 7-10fg 0-3ft,2014-10-28,Yes,Home,101,84,Win
C,Dwight Howard,28.7,9500,hou,lal,21,  13pt 11rb 1as 1bl 1to 3-5fg 7-16ft,2014-10-28,Yes,Away,108,90,Win
C,Tyson Chandler,23,5700,dal,sas,28,  8pt 10rb 2st 1to 4-8fg 0-0ft,2014-10-28,Yes,Away,100,101,Loss
C,Kyle O'Quinn,20.9,4600,orl,nor,21,  4pt 2rb 5as 1st 3bl 1to 2-8fg 0-0ft,2014-10-28,Yes,Away,84,101,Loss
C,Jordan Hill,20.5,5100,lal,hou,23,  7pt 10rb 1as 1bl 2to 2-7fg 3-4ft,2014-10-28,Yes,Home,90,108,Loss
C,Brandan Wright,14,3800,dal,sas,18,  6pt 5rb 1bl 2-2fg 2-2ft,2014-10-28,No,Away,100,101,Loss
C,Dewayne Dedmon,7.6,3500,orl,nor,8,  3pt 3rb 1bl 1to 1-2fg 1-2ft,2014-10-28,No,Away,84,101,Loss
C,Aron Baynes,6.4,3500,sas,dal,18,  4pt 2rb 1bl 2to 2-3fg 0-0ft,2014-10-28,No,Home,101,100,Win
C,Robert Sacre,4,3600,lal,hou,7,  2pt 1st 1-5fg 0-0ft,2014-10-28,No,Home,90,108,Loss
C,Matt Bonner,2.4,3500,sas,dal,15,  0pt 2rb 0-2fg 0-0ft,2014-10-28,Yes,Home,101,100,Win
C,Jeff Withey,1.2,3500,nor,orl,2,  0pt 1rb 0-1fg 0-0ft,2014-10-28,No,Home,101,84,Win
C,Alexis Ajinca,1,3700,nor,orl,2,  2pt 1to 1-1fg 0-0ft,2014-10-28,No,Home,101,84,Win
PG,Russell Westbrook,54.6,10000,okc,por,33,  38pt 3rb 6as 3st 2to 1trey 11-26fg 15-16ft,2014-10-29,Yes,Away,89,106,Loss
