season,week,player_id,mfl_id,name,position,team,ff_pts,pass_comp,pass_att,pass_yds,pass_td,pass_int,sacked,rush_att,rush_yds,rush_td,rec,rec_yds,rec_td,fumbles_lost,xp,fg,pass_1d,rush_1d,rec_1d,ff_pts_ppr,ff_pts_half,fumbles_recovered,td,sacks,points_allowed
2020,15,lockd1,14057,Drew Lock,QB,DEN,14.773,21.074,34.510,247.306,1.483,1.093,2.530,2.737,10.244,0.114,0.000,0.000,0.000,0.287,0.000,0.000,11.908,0.667,0.000,14.773,14.77300,NA,NA,NA,NA
2020,15,daltoa1,10313,Andy Dalton,QB,CHI,14.699,23.435,36.143,257.457,1.466,0.857,2.566,1.923,5.351,0.039,0.000,0.000,0.000,0.259,0.000,0.000,12.608,0.348,0.000,14.699,14.69900,NA,NA,NA,NA
2020,15,tagovt1,14778,Tua Tagovailoa,QB,MIA,14.024,21.510,33.734,212.404,1.457,0.930,2.660,3.210,13.535,0.116,0.000,0.000,0.000,0.245,0.000,0.000,10.709,0.881,0.000,14.024,14.02400,NA,NA,NA,NA
2020,15,mullen1,13968,Nick Mullens,QB,SF,13.828,22.728,34.984,256.811,1.432,0.893,2.293,0.000,0.000,0.000,0.000,0.000,0.000,0.193,0.000,0.000,12.485,0.000,0.000,13.828,13.82800,NA,NA,NA,NA
2020,15,haskid1,14058,Dwayne Haskins,QB,PIT,12.519,21.197,34.075,230.943,1.310,0.976,2.813,1.283,3.636,0.033,0.000,0.000,0.000,0.284,0.000,0.000,11.334,0.237,0.000,12.519,12.51900,NA,NA,NA,NA
2020,15,mccoyc1,9899,Colt McCoy,QB,ARI,12.421,19.901,32.406,210.639,1.270,0.988,3.500,3.620,10.714,0.070,0.000,0.000,0.000,0.300,0.000,0.000,10.418,0.697,0.000,12.421,12.42100,NA,NA,NA,NA
2020,15,darnos1,13592,Sam Darnold,QB,CAR,10.393,18.424,31.793,197.736,0.808,1.174,3.240,3.049,12.212,0.181,0.000,0.000,0.000,0.354,0.000,0.000,9.743,0.795,0.000,10.393,10.39300,NA,NA,NA,NA
2020,15,finler1,14068,Ryan Finley,QB,HOU,8.514,21.062,34.495,189.723,0.874,1.040,3.261,0.195,1.207,0.009,0.000,0.000,0.000,0.333,0.000,0.000,9.827,0.079,0.000,8.514,8.51400,NA,NA,NA,NA
2020,15,hillt2,13424,Taysom Hill,QB,NO,3.683,0.112,0.166,1.412,0.000,0.003,0.012,3.898,21.763,0.252,0.000,0.000,0.000,0.028,0.000,0.000,0.067,1.417,0.000,3.683,3.68300,NA,NA,NA,NA
2020,15,brissj1,12616,Jacoby Brissett,QB,MIA,1.620,0.000,0.000,0.000,0.000,0.000,0.000,0.649,2.782,0.225,0.000,0.000,0.000,0.004,0.000,0.000,0.000,0.181,0.000,1.620,1.62000,NA,NA,NA,NA
2020,15,henryd1,12626,Derrick Henry,RB,TEN,20.081,0.000,0.000,0.000,0.000,0.000,0.000,23.883,113.897,1.192,1.750,12.771,0.083,0.118,0.000,0.000,0.000,5.706,0.587,21.831,20.95600,NA,NA,NA,NA
2020,15,cookd1,13128,Dalvin Cook,RB,MIN,18.078,0.000,0.000,0.000,0.000,0.000,0.000,22.049,92.764,0.851,3.433,30.533,0.163,0.168,0.000,0.000,0.000,4.647,1.395,21.511,19.79450,NA,NA,NA,NA
2020,15,kamara1,13132,Alvin Kamara,RB,NO,17.551,0.000,0.000,0.000,0.000,0.000,0.000,13.283,63.971,0.336,6.450,74.814,0.322,0.138,0.000,0.000,0.000,3.205,3.395,24.001,20.77600,NA,NA,NA,NA
2020,15,chubbn1,13610,Nick Chubb,RB,CLE,15.075,0.000,0.000,0.000,0.000,0.000,0.000,18.317,97.817,0.650,1.449,12.132,0.068,0.114,0.000,0.000,0.000,4.901,0.555,16.524,15.79950,NA,NA,NA,NA
2020,15,tayloj2,14802,Jonathan Taylor,RB,IND,14.742,0.000,0.000,0.000,0.000,0.000,0.000,19.514,90.402,0.518,2.414,22.878,0.094,0.129,0.000,0.000,0.000,4.529,1.043,17.156,15.94900,NA,NA,NA,NA
2020,15,akersc1,14799,Cam Akers,RB,LAR,14.440,0.000,0.000,0.000,0.000,0.000,0.000,21.768,90.311,0.556,1.793,18.625,0.066,0.093,0.000,0.000,0.000,4.525,0.847,16.233,15.33650,NA,NA,NA,NA
2020,15,jonesa2,13319,Aaron Jones,RB,GB,14.076,0.000,0.000,0.000,0.000,0.000,0.000,15.465,77.542,0.533,3.356,25.594,0.126,0.096,0.000,0.000,0.000,3.885,1.175,17.432,15.75400,NA,NA,NA,NA
2020,15,robinj4,14813,James Robinson,RB,JAX,13.691,0.000,0.000,0.000,0.000,0.000,0.000,19.961,83.164,0.417,3.086,26.064,0.117,0.218,0.000,0.000,0.000,4.167,1.192,16.777,15.23400,NA,NA,NA,NA
2020,15,ekelea1,13404,Austin Ekeler,RB,LAC,13.314,0.000,0.000,0.000,0.000,0.000,0.000,13.834,63.336,0.164,5.931,48.459,0.236,0.133,0.000,0.000,0.000,3.173,2.219,19.245,16.27950,NA,NA,NA,NA
2020,15,jacobj1,14073,Josh Jacobs,RB,LV,13.294,0.000,0.000,0.000,0.000,0.000,0.000,16.397,67.260,0.837,2.152,13.838,0.063,0.108,0.000,0.000,0.000,3.370,0.639,15.446,14.37000,NA,NA,NA,NA
2020,15,montgd1,14071,David Montgomery,RB,CHI,13.228,0.000,0.000,0.000,0.000,0.000,0.000,16.246,62.843,0.496,3.514,33.673,0.145,0.135,0.000,0.000,0.000,3.148,1.535,16.742,14.98500,NA,NA,NA,NA
2020,15,dobbij1,14800,J.K. Dobbins,RB,BAL,13.225,0.000,0.000,0.000,0.000,0.000,0.000,18.080,83.758,0.582,1.739,12.427,0.051,0.096,0.000,0.000,0.000,4.196,0.572,14.964,14.09450,NA,NA,NA,NA
2020,15,sandem1,14079,Miles Sanders,RB,PHI,13.214,0.000,0.000,0.000,0.000,0.000,0.000,14.802,66.065,0.593,2.917,25.359,0.129,0.130,0.000,0.000,0.000,3.310,1.159,16.131,14.67250,NA,NA,NA,NA
2020,15,drakek1,12630,Kenyan Drake,RB,LV,13.007,0.000,0.000,0.000,0.000,0.000,0.000,16.696,68.582,0.698,2.434,18.644,0.049,0.099,0.000,0.000,0.000,3.436,0.856,15.441,14.22400,NA,NA,NA,NA
2020,15,davism3,12164,Mike Davis,RB,ATL,12.699,0.000,0.000,0.000,0.000,0.000,0.000,13.205,55.010,0.527,4.521,27.897,0.258,0.151,0.000,0.000,0.000,2.756,1.290,17.220,14.95950,NA,NA,NA,NA
2020,15,carsoc1,13364,Chris Carson,RB,SEA,12.501,0.000,0.000,0.000,0.000,0.000,0.000,13.555,60.817,0.400,2.975,22.913,0.320,0.096,0.000,0.000,0.000,3.047,1.051,15.476,13.98850,NA,NA,NA,NA
2020,15,swiftd1,14797,D'Andre Swift,RB,DET,11.868,0.000,0.000,0.000,0.000,0.000,0.000,14.127,55.900,0.382,3.568,31.679,0.187,0.152,0.000,0.000,0.000,2.801,1.447,15.436,13.65200,NA,NA,NA,NA
2020,15,pollat1,14085,Tony Pollard,RB,DAL,11.844,0.000,0.000,0.000,0.000,0.000,0.000,14.922,69.031,0.532,3.047,15.447,0.073,0.117,0.000,0.000,0.000,3.458,0.721,14.891,13.36750,NA,NA,NA,NA
2020,15,fournl1,13129,Leonard Fournette,RB,TB,11.695,0.000,0.000,0.000,0.000,0.000,0.000,17.875,62.563,0.632,2.000,14.608,0.063,0.096,0.000,0.000,0.000,3.134,0.671,13.695,12.69500,NA,NA,NA,NA
2020,15,moster1,12447,Raheem Mostert,RB,SF,11.063,0.000,0.000,0.000,0.000,0.000,0.000,11.423,65.249,0.498,1.591,12.841,0.072,0.083,0.000,0.000,0.000,3.269,0.588,12.654,11.85850,NA,NA,NA,NA
2020,15,huntk1,13138,Kareem Hunt,RB,CLE,10.848,0.000,0.000,0.000,0.000,0.000,0.000,9.029,39.419,0.315,3.518,29.118,0.375,0.073,0.000,0.000,0.000,1.975,1.333,14.366,12.60700,NA,NA,NA,NA
2020,15,gallmw1,13135,Wayne Gallman,RB,SF,10.471,0.000,0.000,0.000,0.000,0.000,0.000,14.554,63.211,0.561,1.393,9.479,0.013,0.121,0.000,0.000,0.000,3.167,0.437,11.864,11.16750,NA,NA,NA,NA
2020,15,edwarg1,13850,Gus Edwards,RB,BAL,10.365,0.000,0.000,0.000,0.000,0.000,0.000,8.368,53.301,0.771,0.614,4.971,0.000,0.044,0.000,0.000,0.000,2.670,0.228,10.979,10.67200,NA,NA,NA,NA
2020,15,johnsd12,12171,David Johnson,RB,HOU,10.143,0.000,0.000,0.000,0.000,0.000,0.000,14.443,53.785,0.436,2.065,18.206,0.099,0.133,0.000,0.000,0.000,2.695,0.832,12.208,11.17550,NA,NA,NA,NA
2020,15,edwarc1,14803,Clyde Edwards-Helaire,RB,KC,9.836,0.000,0.000,0.000,0.000,0.000,0.000,13.354,49.823,0.361,2.691,23.558,0.087,0.095,0.000,0.000,0.000,2.496,1.077,12.527,11.18150,NA,NA,NA,NA
2020,15,gordom1,12151,Melvin Gordon,RB,DEN,9.812,0.000,0.000,0.000,0.000,0.000,0.000,12.405,51.760,0.455,2.950,16.075,0.089,0.118,0.000,0.000,0.000,2.593,0.747,12.762,11.28700,NA,NA,NA,NA
2020,15,snellb1,14072,Benny Snell Jr.,RB,PIT,9.639,0.000,0.000,0.000,0.000,0.000,0.000,13.791,59.590,0.526,0.917,6.660,0.000,0.071,0.000,0.000,0.000,2.985,0.306,10.556,10.09750,NA,NA,NA,NA
2020,15,miches1,13607,Sony Michel,RB,NE,9.626,0.000,0.000,0.000,0.000,0.000,0.000,14.823,69.521,0.385,0.494,5.416,0.018,0.143,0.000,0.000,0.000,3.483,0.246,10.120,9.87300,NA,NA,NA,NA
2020,15,wilsoj2,14017,Jeff Wilson,RB,SF,9.540,0.000,0.000,0.000,0.000,0.000,0.000,12.008,51.366,0.498,1.477,11.556,0.072,0.086,0.000,0.000,0.000,2.573,0.530,11.017,10.27850,NA,NA,NA,NA
2020,15,hinesn1,13622,Nyheim Hines,RB,IND,9.357,0.000,0.000,0.000,0.000,0.000,0.000,5.125,25.034,0.338,3.621,28.598,0.344,0.049,0.000,0.000,0.000,1.254,1.311,12.978,11.16750,NA,NA,NA,NA
2020,15,ahmeds1,14811,Salvon Ahmed,RB,MIA,9.100,0.000,0.000,0.000,0.000,0.000,0.000,15.889,52.336,0.425,2.151,12.744,0.044,0.111,0.000,0.000,0.000,2.622,0.590,11.251,10.17550,NA,NA,NA,NA
2020,15,mckisj1,13108,J.D. McKissic,RB,WAS,8.464,0.000,0.000,0.000,0.000,0.000,0.000,8.439,31.633,0.066,4.875,41.570,0.157,0.097,0.000,0.000,0.000,1.585,1.901,13.339,10.90150,NA,NA,NA,NA
2020,15,mossz1,14798,Zack Moss,RB,BUF,8.418,0.000,0.000,0.000,0.000,0.000,0.000,12.461,48.866,0.399,1.302,9.255,0.061,0.077,0.000,0.000,0.000,2.448,0.426,9.720,9.06900,NA,NA,NA,NA
2020,15,singld1,14080,Devin Singletary,RB,BUF,7.800,0.000,0.000,0.000,0.000,0.000,0.000,8.980,45.291,0.179,2.367,17.188,0.101,0.064,0.000,0.000,0.000,2.269,0.790,10.167,8.98350,NA,NA,NA,NA
2020,15,murral1,11390,Latavius Murray,RB,NO,7.600,0.000,0.000,0.000,0.000,0.000,0.000,10.298,46.165,0.252,1.759,14.116,0.038,0.084,0.000,0.000,0.000,2.313,0.647,9.359,8.47950,NA,NA,NA,NA
2020,15,barbep1,12637,Peyton Barber,RB,WAS,7.504,0.000,0.000,0.000,0.000,0.000,0.000,13.498,31.997,0.558,1.484,9.238,0.039,0.101,0.000,0.000,0.000,1.603,0.427,8.988,8.24600,NA,NA,NA,NA
2020,15,gurlet2,12150,Todd Gurley,RB,,6.665,0.000,0.000,0.000,0.000,0.000,0.000,8.304,28.280,0.450,1.906,10.926,0.032,0.074,0.000,0.000,0.000,1.417,0.507,8.571,7.61800,NA,NA,NA,NA
2020,15,whitej4,11747,James White,RB,NE,6.423,0.000,0.000,0.000,0.000,0.000,0.000,3.741,16.316,0.182,4.033,32.493,0.098,0.069,0.000,0.000,0.000,0.817,1.489,10.456,8.43950,NA,NA,NA,NA
2020,15,edmonc1,13726,Chase Edmonds,RB,ARI,6.345,0.000,0.000,0.000,0.000,0.000,0.000,5.140,23.292,0.086,3.362,23.616,0.205,0.046,0.000,0.000,0.000,1.167,1.087,9.707,8.02600,NA,NA,NA,NA
2020,15,smithi1,13768,Ito Smith,RB,,5.851,0.000,0.000,0.000,0.000,0.000,0.000,9.574,38.443,0.125,1.906,12.291,0.032,0.082,0.000,0.000,0.000,1.926,0.567,7.757,6.80400,NA,NA,NA,NA
2020,15,willij10,13139,Jamaal Williams,RB,DET,5.722,0.000,0.000,0.000,0.000,0.000,0.000,8.977,38.771,0.107,1.438,8.531,0.076,0.053,0.000,0.000,0.000,1.942,0.395,7.160,6.44100,NA,NA,NA,NA
2020,15,lindsp1,13614,Phillip Lindsay,RB,HOU,5.631,0.000,0.000,0.000,0.000,0.000,0.000,9.946,43.134,0.190,0.527,2.473,0.015,0.080,0.000,0.000,0.000,2.161,0.116,6.158,5.89450,NA,NA,NA,NA
2020,15,samuej1,13613,Jaylen Samuels,RB,PIT,5.484,0.000,0.000,0.000,0.000,0.000,0.000,9.171,32.606,0.254,1.146,7.992,0.000,0.050,0.000,0.000,0.000,1.634,0.368,6.630,6.05700,NA,NA,NA,NA
2020,15,booked1,12629,Devontae Booker,RB,NYG,4.794,0.000,0.000,0.000,0.000,0.000,0.000,5.645,26.444,0.238,1.076,6.919,0.018,0.039,0.000,0.000,0.000,1.325,0.319,5.870,5.33200,NA,NA,NA,NA
2020,15,hended3,14087,Darrell Henderson,RB,LAR,4.414,0.000,0.000,0.000,0.000,0.000,0.000,3.518,16.772,0.257,1.076,10.029,0.038,0.018,0.000,0.000,0.000,0.840,0.458,5.490,4.95200,NA,NA,NA,NA
2020,15,ballak1,13621,Kalen Ballage,RB,PIT,4.395,0.000,0.000,0.000,0.000,0.000,0.000,7.338,22.736,0.197,1.210,8.076,0.041,0.057,0.000,0.000,0.000,1.139,0.372,5.605,5.00000,NA,NA,NA,NA
2020,15,hydec1,11657,Carlos Hyde,RB,JAX,4.217,0.000,0.000,0.000,0.000,0.000,0.000,6.218,26.608,0.147,1.488,7.638,0.000,0.045,0.000,0.000,0.000,1.333,0.356,5.705,4.96100,NA,NA,NA,NA
2020,15,dowdlr1,14823,Rico Dowdle,RB,DAL,4.164,0.000,0.000,0.000,0.000,0.000,0.000,6.309,21.940,0.172,1.172,7.724,0.044,0.049,0.000,0.000,0.000,1.099,0.356,5.336,4.75000,NA,NA,NA,NA
2020,15,goref1,7877,Frank Gore,RB,NYJ,4.087,0.000,0.000,0.000,0.000,0.000,0.000,8.138,28.042,0.092,1.489,7.909,0.024,0.102,0.000,0.000,0.000,1.405,0.368,5.576,4.83150,NA,NA,NA,NA
2020,15,belll1,11192,Le'Veon Bell,RB,,3.940,0.000,0.000,0.000,0.000,0.000,0.000,6.211,20.925,0.097,1.538,10.994,0.043,0.046,0.000,0.000,0.000,1.048,0.506,5.478,4.70900,NA,NA,NA,NA
2020,15,johnst1,14095,Ty Johnson,RB,NYJ,3.920,0.000,0.000,0.000,0.000,0.000,0.000,6.616,28.946,0.084,1.303,5.932,0.016,0.084,0.000,0.000,0.000,1.450,0.278,5.223,4.57150,NA,NA,NA,NA
