game_id,closing_be_home,closing_be_away,closing_ml_home,closing_ml_away,home_prob,away_prob,home_away,team,over_under,line,closing_be,closing_odds,closing_prob,home,away,season_type,home_hits,home_score,away_hits,away_score,total_runs,total_hits,home_win,away_win,home_win_margin,away_win_margin,both_teams_score_1,both_teams_score_2,both_teams_score_3,both_teams_score_4,both_teams_score_5,both_teams_score_6,both_teams_score_7,both_teams_score_8,both_teams_score_9,total_over_prob,total_under_prob
90594,0.6774193548387096,0.36101083032490977,-210,177,0.6513860035988384,0.34861399640116164,home,SD,under,8.5,0.5327102803738317,-114,0.5097620341748277,SD,WSH,2023 REG,8,3,11,8,11,19,0,1,-5,5,1,1,1,0,0,0,0,0,0,0.49023796582517226,0.5097620341748277
90595,0.5370370370370371,0.504950495049505,-116,-102,0.514488177212783,0.48551182278721705,away,CLE,over,9.5,0.5145631067961165,-106,0.4913668392989033,CIN,CLE,2023 REG,6,0,7,3,3,13,0,1,-3,3,0,0,0,0,0,0,0,0,0,0.4913668392989033,0.5086331607010968
90595,0.5370370370370371,0.504950495049505,-116,-102,0.514488177212783,0.48551182278721705,home,CIN,under,9.5,0.5305164319248826,-113,0.5086331607010968,CIN,CLE,2023 REG,6,0,7,3,3,13,0,1,-3,3,0,0,0,0,0,0,0,0,0,0.4913668392989033,0.5086331607010968
90596,0.39840637450199207,0.6402877697841727,151,-178,0.38299038076248415,0.6170096192375158,away,BAL,over,8.5,0.5454545454545454,-120,0.5179608869977906,OAK,BAL,2023 REG,6,2,9,7,9,15,0,1,-5,5,1,1,0,0,0,0,0,0,0,0.5179608869977906,0.48203911300220936
90596,0.39840637450199207,0.6402877697841727,151,-178,0.38299038076248415,0.6170096192375158,home,OAK,under,8.5,0.504950495049505,-102,0.48203911300220936,OAK,BAL,2023 REG,6,2,9,7,9,15,0,1,-5,5,1,1,0,0,0,0,0,0,0,0.5179608869977906,0.48203911300220936
90597,0.607843137254902,0.43103448275862066,-155,132,0.5842116427368785,0.41578835726312147,away,SD,over,9.5,0.5,100,0.4772727272727273,LAD,SD,2023 REG,11,11,5,2,13,16,1,0,9,-9,1,1,0,0,0,0,0,0,0,0.4772727272727273,0.5227272727272727
90597,0.607843137254902,0.43103448275862066,-155,132,0.5842116427368785,0.41578835726312147,home,LAD,under,9.5,0.5454545454545454,-120,0.5227272727272727,LAD,SD,2023 REG,11,11,5,2,13,16,1,0,9,-9,1,1,0,0,0,0,0,0,0,0.4772727272727273,0.5227272727272727
90598,0.6428571428571428,0.3921568627450981,-180,155,0.6203481392557023,0.3796518607442977,away,HOU,over,7.5,0.5283018867924528,-112,0.5031902949311281,TB,HOU,2023 REG,5,0,11,5,5,16,0,1,-5,5,0,0,0,0,0,0,0,0,0,0.5031902949311281,0.4968097050688719
90598,0.6428571428571428,0.3921568627450981,-180,155,0.6203481392557023,0.3796518607442977,home,TB,under,7.5,0.5192307692307692,-108,0.4968097050688719,TB,HOU,2023 REG,5,0,11,5,5,16,0,1,-5,5,0,0,0,0,0,0,0,0,0,0.5031902949311281,0.4968097050688719
90599,0.5867768595041323,0.45454545454545453,-142,120,0.5625298818386723,0.43747011816132775,away,BAL,over,8.5,0.5121951219512195,-105,0.48808156828023186,ARI,BAL,2023 REG,9,5,14,8,13,23,0,1,-3,3,1,1,1,1,1,0,0,0,0,0.48808156828023186,0.5119184317197681
