playerName,teamName,oppName,passComp,passAtt,passYds,passTd,passInt,rushAtt,rushYds,recvReceptions,recvYds
Ke'Shawn Vaughn,TB,@WAS,0,0,0,0,0,1.3087,5.5769,0.2881,2.3586
Jordan Wilkins,IND,@BUF,0,0,0,0,0,1.3142,5.774,0.2664,1.8721
Greg Olsen,SEA,LA,0,0,0,0,0,0,0,1.7649,20.1876
Van Jefferson,LA,@SEA,0,0,0,0,0,0.1284,0.9195,0.9515,11.6367
Harrison Bryant,CLV,@PIT,0,0,0,0,0,0,0,1.8404,19.8948
Justice Hill,BLT,@TEN,0,0,0,0,0,1.2052,4.8541,0.2261,1.7035
Ashton Dulin,IND,@BUF,0,0,0,0,0,0.2628,1.8321,0.8122,10.0705
Artavis Pierce,CHI,@NO,0,0,0,0,0,1.0965,4.3973,0.1379,1.035
Javon Wims,CHI,@NO,0,0,0,0,0,0.1096,0.7339,0.8296,10.3689
LeSean McCoy,TB,@WAS,0,0,0,0,0,0.5235,1.9816,0.3023,1.9719
D'Ernest Johnson,CLV,@PIT,0,0,0,0,0,0.9399,3.7038,0.1222,1.0045
Andy Janovich,CLV,@PIT,0,0,0,0,0,0.0783,0.2917,0.2349,2.3216
Jacoby Brissett,IND,@BUF,0.4456,0.685,4.7285,0.0285,0.0127,2.1521,1.9092,0,0
Michael Burton,NO,CHI,0,0,0,0,0,0.2671,1.1058,0.1416,1.1236
Ryan Nall,CHI,@NO,0,0,0,0,0,0.4386,1.7189,0.1377,1.0335
Patrick Ricard,BLT,@TEN,0,0,0,0,0,0.1507,0.5974,0.2244,1.6766
Kalif Raymond,TEN,BLT,0,0,0,0,0,0.1219,0.7483,0.5373,9.3809
Cameron Batson,TEN,BLT,0,0,0,0,0,0.4874,3.285,0.6105,6.3956
Tyler Johnson,TB,@WAS,0,0,0,0,0,0,0,0.689,8.876
Khari Blasingame,TEN,BLT,0,0,0,0,0,0.2437,1.0395,0.1208,1.0258
Freddie Swain,SEA,LA,0,0,0,0,0,0,0,0.6702,8.2026
Ray-Ray McCloud III,PIT,CLV,0,0,0,0,0,0.2438,1.6824,0.7089,6.6644
Antonio Williams,BUF,IND,0,0,0,0,0,0.2499,1.1075,0.0486,0.4289
Mo Alie-Cox,IND,@BUF,0,0,0,0,0,0,0,1.3986,16.5053
Isaiah McKenzie,BUF,IND,0,0,0,0,0,0.4997,3.0441,0.554,4.6464
