season,week,team,opponent
2020,16,NO,MIN
2020,16,DET,TB
2020,16,ARI,SF
2020,16,LV,MIA
2020,16,BAL,NYG
2020,16,HOU,CIN
2020,16,JAX,CHI
2020,16,KC,ATL
2020,16,NYJ,CLE
2020,16,PIT,IND
2020,16,LAC,DEN
2020,16,WAS,CAR
2020,16,DAL,PHI
2020,16,SEA,LA
2020,16,GB,TEN
2020,16,NE,BUF
2020,17,BUF,MIA
2020,17,CIN,BAL
2020,17,CLE,PIT
2020,17,DET,MIN
2020,17,NE,NYJ
2020,17,NYG,DAL
2020,17,TB,ATL
2020,17,CAR,NO
2020,17,CHI,GB
2020,17,DEN,LV
2020,17,HOU,TEN
2020,17,IND,JAX
2020,17,KC,LAC
2020,17,LA,ARI
2020,17,SF,SEA
2020,17,PHI,WAS
2020,18,BUF,IND
2020,18,SEA,LA
2020,18,WAS,TB
2020,18,TEN,BAL
2020,18,NO,CHI
2020,18,PIT,CLE
2021,1,TB,DAL
2021,1,ATL,PHI
2021,1,BUF,PIT
2021,1,CAR,NYJ
2021,1,CIN,MIN
2021,1,DET,SF
2021,1,HOU,JAX
2021,1,IND,SEA
2021,1,TEN,ARI
2021,1,WAS,LAC
2021,1,KC,CLE
2021,1,NE,MIA
2021,1,NO,GB
2021,1,NYG,DEN
2021,1,LA,CHI
2021,1,LV,BAL
2021,2,WAS,NYG
2021,2,CAR,NO
2021,2,CHI,CIN
2021,2,CLE,HOU
2021,2,IND,LA
2021,2,JAX,DEN
2021,2,MIA,BUF
2021,2,NYJ,NE
2021,2,PHI,SF
2021,2,PIT,LV
2021,2,ARI,MIN
2021,2,TB,ATL
2021,2,LAC,DAL
2021,2,SEA,TEN
2021,2,BAL,KC
2021,2,GB,DET
2021,3,HOU,CAR
2021,3,BUF,WAS
2021,3,CLE,CHI
2021,3,DET,BAL
2021,3,JAX,ARI
2021,3,KC,LAC
2021,3,NE,NO
2021,3,NYG,ATL
2021,3,PIT,CIN
2021,3,TEN,IND
2021,3,DEN,NYJ
2021,3,LV,MIA
2021,3,LA,TB
2021,3,MIN,SEA
2021,3,SF,GB
2021,3,DAL,PHI
2021,4,CIN,JAX
2021,4,ATL,WAS
2021,4,BUF,HOU
2021,4,CHI,DET
2021,4,DAL,CAR
2021,4,MIA,IND
2021,4,MIN,CLE
2021,4,NO,NYG
2021,4,NYJ,TEN
2021,4,PHI,KC
2021,4,LA,ARI
2021,4,SF,SEA
2021,4,DEN,BAL
2021,4,GB,PIT
2021,4,NE,TB
2021,4,LAC,LV
2021,5,SEA,LA
2021,5,ATL,NYJ
2021,5,CAR,PHI
2021,5,CIN,GB
2021,5,HOU,NE
2021,5,JAX,TEN
2021,5,MIN,DET
2021,5,PIT,DEN
2021,5,TB,MIA
2021,5,WAS,NO
2021,5,LAC,CLE
2021,5,LV,CHI
2021,5,ARI,SF
2021,5,DAL,NYG
2021,5,KC,BUF
2021,5,BAL,IND
2021,6,PHI,TB
2021,6,JAX,MIA
2021,6,BAL,LAC
2021,6,CAR,MIN
2021,6,CHI,GB
2021,6,DET,CIN
2021,6,IND,HOU
2021,6,NYG,LA
2021,6,WAS,KC
2021,6,CLE,ARI
2021,6,DEN,LV
2021,6,NE,DAL
2021,6,PIT,SEA
2021,6,TEN,BUF
2021,7,CLE,DEN
2021,7,BAL,CIN
2021,7,GB,WAS
2021,7,MIA,ATL
2021,7,NE,NYJ
2021,7,NYG,CAR
2021,7,TEN,KC
2021,7,LA,DET
2021,7,LV,PHI
2021,7,ARI,HOU
2021,7,TB,CHI
2021,7,SF,IND
2021,7,SEA,NO
2021,8,ARI,GB
2021,8,ATL,CAR
2021,8,BUF,MIA
2021,8,CHI,SF
2021,8,CLE,PIT
2021,8,DET,PHI
2021,8,HOU,LA
2021,8,IND,TEN
2021,8,NYJ,CIN
2021,8,LAC,NE
2021,8,SEA,JAX
2021,8,DEN,WAS
2021,8,NO,TB
2021,8,MIN,DAL
2021,8,KC,NYG
2021,9,IND,NYJ
2021,9,BAL,MIN
2021,9,CAR,NE
2021,9,CIN,CLE
2021,9,DAL,DEN
2021,9,JAX,BUF
2021,9,MIA,HOU
2021,9,NO,ATL
2021,9,NYG,LV
2021,9,PHI,LAC
2021,9,KC,GB
2021,9,SF,ARI
2021,9,LA,TEN
2021,9,PIT,CHI
2021,10,MIA,BAL
2021,10,DAL,ATL
2021,10,IND,JAX
2021,10,NE,CLE
2021,10,NYJ,BUF
2021,10,PIT,DET
2021,10,TEN,NO
2021,10,WAS,TB
2021,10,ARI,CAR
2021,10,LAC,MIN
2021,10,DEN,PHI
2021,10,GB,SEA
2021,10,LV,KC
2021,10,SF,LA
2021,11,ATL,NE
2021,11,BUF,IND
2021,11,CAR,WAS
2021,11,CHI,BAL
2021,11,CLE,DET
2021,11,JAX,SF
2021,11,MIN,GB
2021,11,NYJ,MIA
2021,11,PHI,NO
2021,11,TEN,HOU
2021,11,LV,CIN
2021,11,KC,DAL
2021,11,SEA,ARI
2021,11,LAC,PIT
2021,11,TB,NYG
2021,12,DET,CHI
2021,12,DAL,LV
2021,12,NO,BUF
2021,12,CIN,PIT
2021,12,HOU,NYJ
2021,12,IND,TB
2021,12,JAX,ATL
2021,12,MIA,CAR
2021,12,NE,TEN
2021,12,NYG,PHI
2021,12,DEN,LAC
2021,12,GB,LA
2021,12,SF,MIN
2021,12,BAL,CLE
2021,12,WAS,SEA
2021,13,NO,DAL
2021,13,ATL,TB
2021,13,CHI,ARI
2021,13,CIN,LAC
2021,13,DET,MIN
2021,13,HOU,IND
2021,13,KC,DEN
2021,13,MIA,NYG
2021,13,NYJ,PHI
2021,13,LV,WAS
2021,13,LA,JAX
2021,13,PIT,BAL
2021,13,SEA,SF
2021,13,BUF,NE
2021,14,MIN,PIT
2021,14,CAR,ATL
2021,14,CIN,SF
2021,14,CLE,BAL
2021,14,HOU,SEA
2021,14,KC,LV
2021,14,NYJ,NO
2021,14,TEN,JAX
2021,14,WAS,DAL
2021,14,DEN,DET
2021,14,LAC,NYG
2021,14,TB,BUF
2021,14,GB,CHI
2021,14,ARI,LA
2021,15,LAC,KC
2021,15,BAL,GB
2021,15,BUF,CAR
2021,15,CLE,LV
2021,15,DET,ARI
2021,15,IND,NE
2021,15,JAX,HOU
2021,15,MIA,NYJ
2021,15,NYG,DAL
2021,15,PHI,WAS
2021,15,PIT,TEN
2021,15,DEN,CIN
2021,15,SF,ATL
2021,15,LA,SEA
2021,15,TB,NO
2021,15,CHI,MIN
2021,16,TEN,SF
2021,16,GB,CLE
2021,16,ARI,IND
2021,16,ATL,DET
2021,16,CAR,TB
2021,16,CIN,BAL
2021,16,HOU,LAC
2021,16,MIN,LA
2021,16,NE,BUF
2021,16,NYJ,JAX
2021,16,PHI,NYG
2021,16,SEA,CHI
2021,16,KC,PIT
2021,16,LV,DEN
2021,16,DAL,WAS
2021,16,NO,MIA
2021,17,BUF,ATL
2021,17,CHI,NYG
2021,17,CIN,KC
2021,17,DAL,ARI
2021,17,IND,LV
2021,17,NE,JAX
2021,17,NO,CAR
2021,17,NYJ,TB
2021,17,TEN,MIA
2021,17,WAS,PHI
2021,17,LAC,DEN
2021,17,SF,HOU
2021,17,BAL,LA
2021,17,SEA,DET
2021,17,GB,MIN
2021,17,PIT,CLE
2021,18,ATL,NO
2021,18,BAL,PIT
2021,18,BUF,NYJ
2021,18,CLE,CIN
2021,18,DET,GB
2021,18,HOU,TEN
2021,18,JAX,IND
2021,18,MIA,NE
2021,18,MIN,CHI
2021,18,NYG,WAS
2021,18,PHI,DAL
2021,18,TB,CAR
2021,18,ARI,SEA
2021,18,DEN,KC
2021,18,LA,SF
2021,18,LV,LAC
2020,1,HOU,KC
2020,1,SEA,ATL
2020,1,CLE,BAL
2020,1,NYJ,BUF
2020,1,LV,CAR
2020,1,CHI,DET
2020,1,IND,JAX
2020,1,GB,MIN
2020,1,MIA,NE
2020,1,PHI,WAS
2020,1,LAC,CIN
2020,1,TB,NO
2020,1,ARI,SF
2020,1,DAL,LA
2020,1,PIT,NYG
2020,1,TEN,DEN
2020,2,CIN,CLE
2020,2,NYG,CHI
2020,2,ATL,DAL
2020,2,DET,GB
2020,2,MIN,IND
2020,2,BUF,MIA
2020,2,SF,NYJ
2020,2,LA,PHI
2020,2,DEN,PIT
2020,2,CAR,TB
2020,2,JAX,TEN
2020,2,WAS,ARI
2020,2,BAL,HOU
2020,2,KC,LAC
2020,2,NE,SEA
2020,2,NO,LV
2020,3,MIA,JAX
2020,3,CHI,ATL
2020,3,LA,BUF
2020,3,WAS,CLE
2020,3,TEN,MIN
2020,3,LV,NE
2020,3,SF,NYG
2020,3,CIN,PHI
2020,3,HOU,PIT
2020,3,NYJ,IND
2020,3,CAR,LAC
2020,3,DET,ARI
2020,3,TB,DEN
2020,3,DAL,SEA
2020,3,GB,NO
2020,3,KC,BAL
2020,4,DEN,NYJ
2020,4,ARI,CAR
2020,4,JAX,CIN
2020,4,CLE,DAL
2020,4,NO,DET
2020,4,MIN,HOU
2020,4,SEA,MIA
2020,4,LAC,TB
2020,4,BAL,WAS
2020,4,NYG,LA
2020,4,IND,CHI
2020,4,BUF,LV
2020,4,PHI,SF
2020,4,NE,KC
2020,4,ATL,GB
2020,5,TB,CHI
