Position,Player,Points,Salary,Team,Opp,Minutes,Date,Started,Home.Away,Win.Loss
PG,Damian Lillard,59.2,8500,POR,UTA,35,2016-10-25,1,Home,Win
PG,Kyrie Irving,43.5,8000,CLE,NYK,29,2016-10-25,1,Home,Win
SG,Rodney Hood,37.5,6000,UTA,POR,37,2016-10-25,1,Away,Loss
PG,George Hill,36.5,5300,UTA,POR,38,2016-10-25,1,Away,Loss
PG,Stephen Curry,35.2,9600,GSW,SAS,34,2016-10-25,1,Home,Loss
PG/SG,C.J. McCollum,33.5,6300,POR,UTA,34,2016-10-25,1,Home,Win
SG,Jonathon Simmons,32,3000,SAS,GSW,28,2016-10-25,0,Away,Win
PG,Patty Mills,29.2,3600,SAS,GSW,17,2016-10-25,0,Away,Win
PG,Derrick Rose,22.8,5800,NYK,CLE,29,2016-10-25,1,Away,Loss
SG,Manu Ginobili,22.2,3900,SAS,GSW,20,2016-10-25,0,Away,Win
PG,Tony Parker,18.2,4600,SAS,GSW,26,2016-10-25,1,Away,Win
PG,Brandon Jennings,17.8,4500,NYK,CLE,21,2016-10-25,0,Away,Loss
SG,J.R. Smith,17.8,4100,CLE,NYK,25,2016-10-25,1,Home,Win
PG,Shelvin Mack,15.2,3000,UTA,POR,14,2016-10-25,0,Away,Loss
SG,Klay Thompson,15.2,6500,GSW,SAS,33,2016-10-25,1,Home,Loss
SG,DeAndre Liggins,13.8,3000,CLE,NYK,12,2016-10-25,0,Home,Win
PG/SG,Ian Clark,10,3000,GSW,SAS,13,2016-10-25,0,Home,Loss
SG,Iman Shumpert,10,3100,CLE,NYK,13,2016-10-25,0,Home,Win
PG,Dante Exum,7.5,3400,UTA,POR,8,2016-10-25,0,Away,Loss
SG,Ron Baker,6.8,3000,NYK,CLE,6,2016-10-25,0,Away,Loss
PG,Shaun Livingston,6,3000,GSW,SAS,12,2016-10-25,0,Home,Loss
SG,James Jones,5.5,3000,CLE,NYK,5,2016-10-25,0,Home,Win
SG,Courtney Lee,4.8,3700,NYK,CLE,19,2016-10-25,1,Away,Loss
PG,Nicolas Laprovittola,2.5,3000,SAS,GSW,3,2016-10-25,0,Away,Win
PG,Jordan McRae,2,3400,CLE,NYK,5,2016-10-25,0,Home,Win
SG,Sasha Vujacic,2,3000,NYK,CLE,3,2016-10-25,0,Away,Loss
PG,Bryn Forbes,0,3000,SAS,GSW,3,2016-10-25,0,Away,Win
SF/PF,LeBron James,58.2,9000,CLE,NYK,32,2016-10-25,1,Home,Win
SF/PF,Kevin Durant,55.5,9400,GSW,SAS,36,2016-10-25,1,Home,Loss
SF,Kawhi Leonard,54.8,7800,SAS,GSW,32,2016-10-25,1,Away,Win
SG/SF,Joe Johnson,41,4300,UTA,POR,30,2016-10-25,1,Away,Loss
PF,Kristaps Porzingis,31.2,7400,NYK,CLE,32,2016-10-25,1,Away,Loss
SF,Carmelo Anthony,30.2,7600,NYK,CLE,30,2016-10-25,1,Away,Loss
SG/SF,Allen Crabbe,27.2,3400,POR,UTA,29,2016-10-25,0,Home,Win
SF,Richard Jefferson,23.5,3000,CLE,NYK,25,2016-10-25,0,Home,Win
SG/SF,Justin Holiday,21.5,3000,NYK,CLE,26,2016-10-25,0,Away,Loss
SG/SF,Evan Turner,20.8,4700,POR,UTA,26,2016-10-25,0,Home,Win
SG/SF,Mike Dunleavy,18,3000,CLE,NYK,22,2016-10-25,0,Home,Win
PF,Al-Farouq Aminu,18,4400,POR,UTA,28,2016-10-25,1,Home,Win
PF,David Lee,15.5,3300,SAS,GSW,11,2016-10-25,0,Away,Win
PF,Channing Frye,15.5,3200,CLE,NYK,14,2016-10-25,0,Home,Win
PF,Noah Vonleh,14.8,3000,POR,UTA,16,2016-10-25,0,Home,Win
SF,Kyle Anderson,10.5,3500,SAS,GSW,22,2016-10-25,1,Away,Win
SF,Andre Iguodala,10.5,3500,GSW,SAS,26,2016-10-25,0,Home,Loss
SG/SF,Patrick McCaw,9,3000,GSW,SAS,9,2016-10-25,0,Home,Loss
