Position,Player,Points,Salary,Team,Opp,Minutes,Date,Started,Home.Away,Win.Loss
PG,Damian Lillard,54.8,8900,POR,UTA,35,2016-10-25,1,Home,Win
PG,Kyrie Irving,41.4,7100,CLE,NYK,29,2016-10-25,1,Home,Win
SG,Rodney Hood,35.9,5400,UTA,POR,37,2016-10-25,1,Away,Loss
PG,George Hill,35.4,5600,UTA,POR,38,2016-10-25,1,Away,Loss
PG,Stephen Curry,31.6,9300,GSW,SAS,34,2016-10-25,1,Home,Loss
SG,C.J. McCollum,30.9,6900,POR,UTA,34,2016-10-25,1,Home,Win
PG,Patty Mills,27.7,3900,SAS,GSW,17,2016-10-25,0,Away,Win
SG,Allen Crabbe,24.1,4200,POR,UTA,29,2016-10-25,0,Home,Win
SG,Manu Ginobili,21,3600,SAS,GSW,20,2016-10-25,0,Away,Win
SG,Justin Holiday,20.2,3800,NYK,CLE,26,2016-10-25,0,Away,Loss
PG,Derrick Rose,20.1,6000,NYK,CLE,29,2016-10-25,1,Away,Loss
PG,Brandon Jennings,17.1,4500,NYK,CLE,21,2016-10-25,0,Away,Loss
SG,J.R. Smith,16.6,4500,CLE,NYK,25,2016-10-25,1,Home,Win
PG,Tony Parker,16.6,5000,SAS,GSW,26,2016-10-25,1,Away,Win
PG,Shelvin Mack,15.2,4600,UTA,POR,14,2016-10-25,0,Away,Loss
SG,Klay Thompson,14.2,6500,GSW,SAS,33,2016-10-25,1,Home,Loss
SG,DeAndre Liggins,13.1,3500,CLE,NYK,12,2016-10-25,0,Home,Win
SG,Ian Clark,10,3500,GSW,SAS,13,2016-10-25,0,Home,Loss
SG,Patrick McCaw,9,3500,GSW,SAS,9,2016-10-25,0,Home,Loss
SG,Iman Shumpert,8.9,4000,CLE,NYK,13,2016-10-25,0,Home,Win
PG,Dante Exum,7.4,3500,UTA,POR,8,2016-10-25,0,Away,Loss
PG,Ron Baker,6.2,3500,NYK,CLE,6,2016-10-25,0,Away,Loss
PG,Shaun Livingston,5.4,3700,GSW,SAS,12,2016-10-25,0,Home,Loss
SG,James Jones,5,3500,CLE,NYK,5,2016-10-25,0,Home,Win
