dateGame,locationGame,slugTeam,Opp,namePlayer,fgm,fga,3-pointers,fg3a,fg2m,fg2a,minutes,ftm,fta,rebounds,assists,steals,blocks,turnovers,points,fpts,urlPlayerHeadshot
2020-12-22,A,LAC,LAL,Serge Ibaka,5,7,2,3,3,4,21,3,5,6,0,0,1,1,15,24.2,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201586.png
2020-12-22,A,LAC,LAL,Reggie Jackson,0,3,0,2,0,1,3,0,0,1,0,0,0,0,0,1.2,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202704.png
2020-12-22,A,LAC,LAL,Nicolas Batum,1,4,1,3,0,1,28,0,0,6,6,2,0,1,3,24.2,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201587.png
2020-12-22,H,LAL,LAC,Montrezl Harrell,6,7,0,0,6,7,32,5,7,10,3,0,1,1,17,35.5,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626149.png
2020-12-22,A,LAC,LAL,Paul George,13,18,5,8,8,10,36,2,2,6,3,1,0,5,33,42.7,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202331.png
2020-12-22,A,LAC,LAL,Luke Kennard,2,6,0,3,2,3,21,0,0,2,2,2,1,1,4,17.4,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628379.png
2020-12-22,A,LAC,LAL,Kawhi Leonard,10,26,1,8,9,18,34,5,5,2,3,2,0,3,26,35.9,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202695.png
2020-12-22,H,LAL,LAC,Wesley Matthews,0,2,0,2,0,0,11,0,0,0,0,1,0,0,0,3,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202083.png
2020-12-22,H,LAL,LAC,Talen Horton-Tucker,2,2,0,0,2,2,11,2,2,1,0,1,0,1,6,9.2,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629659.png
2020-12-22,H,LAL,LAC,Quinn Cook,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626188.png
