season,week,player_id,mfl_id,name,position,team,ff_pts,pass_comp,pass_att,pass_yds,pass_td,pass_int,sacked,rush_att,rush_yds,rush_td,rec,rec_yds,rec_td,fumbles_lost,xp,fg,pass_1d,rush_1d,rec_1d,ff_pts_ppr,ff_pts_half,fumbles_recovered,td,sacks,points_allowed
2020,5,wilsor1,10703,Russell Wilson,QB,SEA,26.045,25.856,36.686,326.606,2.391,0.293,2.260,6.625,31.751,0.210,0.000,0.000,0.000,0.216,0.000,0.000,15.447,2.067,0.000,26.045,26.04500,NA,NA,NA,NA
2020,5,mahomp1,13116,Patrick Mahomes,QB,KC,25.955,26.741,37.831,328.689,2.551,0.299,1.670,3.563,20.073,0.253,0.000,0.000,0.000,0.162,0.000,0.000,15.647,1.307,0.000,25.955,25.95500,NA,NA,NA,NA
2020,5,prescd1,12620,Dak Prescott,QB,DAL,25.415,28.864,41.958,335.692,2.388,0.662,2.030,5.035,23.218,0.304,0.000,0.000,0.000,0.193,0.000,0.000,16.200,1.511,0.000,25.415,25.41500,NA,NA,NA,NA
2020,5,jacksl1,13593,Lamar Jackson,QB,BAL,25.361,21.639,31.425,267.887,2.285,0.440,1.960,7.902,50.316,0.284,0.000,0.000,0.000,0.175,0.000,0.000,12.730,3.276,0.000,25.361,25.36100,NA,NA,NA,NA
2020,5,allenj3,13589,Josh Allen,QB,BUF,23.795,23.549,36.087,285.087,1.872,0.592,2.970,6.183,26.757,0.653,0.000,0.000,0.000,0.253,0.000,0.000,13.621,1.742,0.000,23.795,23.79500,NA,NA,NA,NA
2020,5,murrak1,14056,Kyler Murray,QB,ARI,23.712,22.888,33.959,234.317,1.913,0.823,2.910,9.992,58.312,0.493,0.000,0.000,0.000,0.228,0.000,0.000,11.695,3.796,0.000,23.712,23.71200,NA,NA,NA,NA
2020,5,watsod1,13113,Deshaun Watson,QB,HOU,23.185,24.244,36.720,299.677,2.174,0.885,2.600,4.404,21.598,0.422,0.000,0.000,0.000,0.210,0.000,0.000,14.246,1.406,0.000,23.185,23.18500,NA,NA,NA,NA
2020,5,ryanm1,9099,Matt Ryan,QB,ATL,19.817,25.804,38.873,297.603,2.047,0.731,2.040,1.784,8.552,0.125,0.000,0.000,0.000,0.209,0.000,0.000,14.392,0.557,0.000,19.817,19.81700,NA,NA,NA,NA
2020,5,bridgt1,11640,Teddy Bridgewater,QB,DEN,18.842,23.884,35.366,265.599,1.973,0.581,2.240,4.808,15.737,0.071,0.000,0.000,0.000,0.256,0.000,0.000,12.965,1.024,0.000,18.842,18.84200,NA,NA,NA,NA
2020,5,minshg1,14067,Gardner Minshew,QB,JAX,18.483,23.770,35.859,286.390,1.741,0.861,2.400,3.317,18.217,0.081,0.000,0.000,0.000,0.261,0.000,0.000,13.700,1.186,0.000,18.483,18.48300,NA,NA,NA,NA
2020,5,breesd1,4925,Drew Brees,QB,,18.289,24.023,34.664,284.141,2.012,0.408,1.634,0.210,0.573,0.000,0.000,0.000,0.000,0.183,0.000,0.000,13.654,0.037,0.000,18.289,18.28900,NA,NA,NA,NA
2020,5,roethb1,7401,Ben Roethlisberger,QB,PIT,17.218,22.914,34.320,258.348,1.784,0.402,1.990,1.345,4.100,0.087,0.000,0.000,0.000,0.190,0.000,0.000,12.566,0.267,0.000,17.218,17.21800,NA,NA,NA,NA
2020,5,jonesd4,14059,Daniel Jones,QB,NYG,17.113,22.644,36.781,242.660,1.490,1.126,2.680,3.642,24.567,0.295,0.000,0.000,0.000,0.264,0.000,0.000,11.962,1.599,0.000,17.113,17.11300,NA,NA,NA,NA
2020,5,cousik1,10700,Kirk Cousins,QB,MIN,17.068,21.953,32.744,278.429,1.903,1.017,2.610,1.960,6.149,0.045,0.000,0.000,0.000,0.266,0.000,0.000,13.155,0.400,0.000,17.068,17.06800,NA,NA,NA,NA
2020,5,burroj1,14777,Joe Burrow,QB,CIN,17.040,24.009,37.418,270.906,1.454,1.035,4.090,4.192,21.382,0.170,0.000,0.000,0.000,0.350,0.000,0.000,13.175,1.392,0.000,17.040,17.04000,NA,NA,NA,NA
2020,5,goffj1,12611,Jared Goff,QB,DET,16.961,22.526,32.717,257.118,1.842,0.715,2.250,1.630,5.022,0.097,0.000,0.000,0.000,0.173,0.000,0.000,12.467,0.327,0.000,16.961,16.96100,NA,NA,NA,NA
2020,5,bradyt1,5848,Tom Brady,QB,TB,16.608,23.700,36.247,268.729,1.721,0.565,1.890,0.555,1.510,0.061,0.000,0.000,0.000,0.206,0.000,0.000,13.052,0.098,0.000,16.608,16.60800,NA,NA,NA,NA
2020,5,herbej1,14779,Justin Herbert,QB,LAC,16.474,22.678,34.783,258.593,1.606,0.860,3.220,2.612,11.161,0.152,0.000,0.000,0.000,0.301,0.000,0.000,12.542,0.727,0.000,16.474,16.47400,NA,NA,NA,NA
2020,5,garopj1,11760,Jimmy Garoppolo,QB,SF,16.400,23.190,34.549,287.448,1.656,0.815,2.380,1.320,3.321,0.000,0.000,0.000,0.000,0.212,0.000,0.000,13.656,0.216,0.000,16.400,16.40000,NA,NA,NA,NA
2020,5,tanner1,10697,Ryan Tannehill,QB,TEN,16.332,22.854,34.577,250.870,1.387,0.719,3.020,3.810,14.690,0.195,0.000,0.000,0.000,0.226,0.000,0.000,12.288,0.956,0.000,16.332,16.33200,NA,NA,NA,NA
2020,5,fitzpr1,8062,Ryan Fitzpatrick,QB,WAS,16.324,22.494,34.334,247.806,1.496,1.112,3.350,4.598,20.859,0.185,0.000,0.000,0.000,0.272,0.000,0.000,12.126,1.358,0.000,16.324,16.32400,NA,NA,NA,NA
2020,5,carrd2,11644,Derek Carr,QB,LV,15.414,24.156,35.547,271.345,1.639,1.038,2.880,1.389,4.022,0.042,0.000,0.000,0.000,0.287,0.000,0.000,13.211,0.262,0.000,15.414,15.41400,NA,NA,NA,NA
2020,5,riverp1,7394,Philip Rivers,QB,,15.113,22.360,33.270,253.755,1.733,0.858,2.090,0.356,1.229,0.000,0.000,0.000,0.000,0.188,0.000,0.000,12.322,0.080,0.000,15.113,15.11300,NA,NA,NA,NA
