dateGame,locationGame,slugTeam,Opp,namePlayer,fgm,fga,3-pointers,fg3a,fg2m,fg2a,minutes,ftm,fta,rebounds,assists,steals,blocks,turnovers,points,fpts,urlPlayerHeadshot
2019-12-30,H,CHI,MIL,Coby White,7,18,3,6,4,12,33,1,2,4,1,4,0,0,18,36.3,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629632.png
2019-12-30,A,MIL,CHI,Brook Lopez,5,9,1,4,4,5,27,0,0,4,1,1,2,0,11,26.3,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201572.png
2019-12-30,A,MIL,CHI,DJ Wilson,0,2,0,1,0,1,3,0,0,0,0,0,0,0,0,0,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628391.png
2019-12-30,H,CHI,MIL,Ryan Arcidiacono,1,2,0,0,1,2,14,0,0,3,2,0,0,0,2,8.6,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627853.png
2019-12-30,A,MIL,CHI,George Hill,2,3,1,2,1,1,20,0,0,2,3,0,0,1,5,10.9,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201588.png
2019-12-30,H,CHI,MIL,Tomas Satoransky,4,11,2,6,2,5,26,0,0,2,7,0,0,2,10,20.9,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203107.png
2019-12-30,A,MIL,CHI,Ersan Ilyasova,5,8,1,3,4,5,19,3,4,11,2,0,0,1,14,29.2,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/101141.png
2019-12-30,H,CHI,MIL,Daniel Gafford,4,7,0,0,4,7,17,0,1,4,2,2,1,0,8,24.8,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629655.png
2019-12-30,H,CHI,MIL,Kris Dunn,1,6,0,2,1,4,19,2,2,2,2,1,0,2,4,10.4,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627739.png
2019-12-30,A,MIL,CHI,Giannis Antetokounmpo,8,14,1,3,7,11,27,6,6,10,6,0,0,2,23,42,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203507.png
2019-12-30,H,CHI,MIL,Zach LaVine,7,23,4,9,3,14,33,1,1,4,5,0,0,2,19,29.3,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203897.png
2019-12-31,H,OKC,DAL,Terrance Ferguson,0,3,0,3,0,0,18,0,0,1,0,0,0,0,0,1.2,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628390.png
2019-12-31,A,DAL,OKC,Dwight Powell,3,5,0,1,3,4,29,5,6,4,2,2,1,0,11,27.8,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203939.png
2019-12-31,H,OKC,DAL,Deonte Burton,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629126.png
2019-12-31,A,DAL,OKC,Justin Jackson,2,8,2,6,0,2,17,2,2,4,2,1,0,0,8,18.8,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628382.png
2019-12-31,H,OKC,DAL,Steven Adams,4,7,0,0,4,7,25,2,4,11,2,1,0,1,10,28.2,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203500.png
2019-12-31,A,DAL,OKC,Seth Curry,3,13,3,10,0,3,26,0,0,4,1,1,1,0,9,21.3,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203552.png
2019-12-31,A,DAL,OKC,Luka Doncic,12,29,3,16,9,13,40,8,12,10,7,1,0,2,35,58.5,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629029.png
2019-12-31,A,DAL,OKC,Delon Wright,2,7,1,2,1,5,26,2,3,3,2,0,1,3,7,13.6,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626153.png
2019-12-31,A,DAL,OKC,Maxi Kleber,5,10,4,9,1,1,35,0,0,14,2,0,0,1,14,32.8,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628467.png
2019-12-31,H,OKC,DAL,Dennis Schroder,7,17,2,7,5,10,31,4,4,7,4,0,0,3,20,31.4,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203471.png
2019-12-31,H,OKC,DAL,Danilo Gallinari,8,14,3,8,5,6,31,1,2,3,2,1,0,2,20,27.6,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201568.png
2019-12-31,A,DAL,OKC,Dorian Finney-Smith,1,8,1,3,0,5,31,3,4,2,1,0,1,2,6,10.9,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627827.png
2019-12-31,H,OKC,DAL,Nerlens Noel,5,9,0,0,5,9,23,2,4,12,0,1,2,0,12,35.4,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203457.png
2019-12-31,H,OKC,DAL,Chris Paul,7,15,1,2,6,13,36,2,2,8,7,1,0,4,17,36.1,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/101108.png
2019-12-31,H,OKC,DAL,Darius Bazley,0,5,0,3,0,2,12,2,2,3,0,0,1,1,2,7.6,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629647.png
2019-12-31,A,DAL,OKC,Boban Marjanovic,2,4,0,1,2,3,11,0,0,6,1,0,0,1,4,11.7,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626246.png
2019-12-31,H,OKC,DAL,Shai Gilgeous-Alexander,6,15,0,2,6,13,35,7,8,10,3,2,1,0,19,44.5,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628983.png
